urn:cts:latinLit:phi0690.phi002:1.63	unde homines nati, durum genus. Ergo age, terrae
urn:cts:latinLit:phi0690.phi002:1.64	pingue solum primis extemplo a mensibus anni
urn:cts:latinLit:phi0690.phi002:1.65	fortes invertant tauri glaebasque iacentis
urn:cts:latinLit:phi0690.phi002:1.66	pulverulenta coquat maturis solibus aestas;
urn:cts:latinLit:phi0690.phi002:1.67	at si non fuerit tellus fecunda, sub ipsum
urn:cts:latinLit:phi0690.phi002:1.68	Arcturum tenui sat erit suspendere sulco:
urn:cts:latinLit:phi0690.phi002:1.69	illic, officiant laetis ne frugibus herbae,
urn:cts:latinLit:phi0690.phi002:1.70	hic, sterilem exiguus ne deserat humor harenam.
urn:cts:latinLit:phi0690.phi002:1.71	Alternis idem tonsas cessare novalis
urn:cts:latinLit:phi0690.phi002:1.72	et segnem patiere situ durescere campum;
urn:cts:latinLit:phi0690.phi002:1.73	aut ibi flava seres mutato sidere farra,
urn:cts:latinLit:phi0690.phi002:1.74	unde prius laetum siliqua quassante legumen
urn:cts:latinLit:phi0690.phi002:1.75	aut tenuis fetus viciae tristisque lupini
urn:cts:latinLit:phi0690.phi002:1.76	sustuleris fragilis calamos silvamque sonantem.
urn:cts:latinLit:phi0690.phi002:1.77	Urit enim lini campum seges, urit avenae,
urn:cts:latinLit:phi0690.phi002:1.78	urunt Lethaeo perfusa papavera somno:
urn:cts:latinLit:phi0690.phi002:1.79	sed tamen alternis facilis labor, arida tantum
urn:cts:latinLit:phi0690.phi002:1.80	ne saturare fimo pingui pudeat sola neve
urn:cts:latinLit:phi0690.phi002:1.81	effetos cinerem inmundum iactare per agros.
urn:cts:latinLit:phi0690.phi002:1.82	Sic quoque mutatis requiescunt fetibus arva;
urn:cts:latinLit:phi0690.phi002:1.83	nec nulla interea est inaratae gratia terrae.
urn:cts:latinLit:phi0690.phi002:1.84	Saepe etiam sterilis incendere profuit agros
urn:cts:latinLit:phi0690.phi002:1.85	atque levem stipulam crepitantibus urere flammis:
