urn:cts:latinLit:phi0893.phi0011.2.45	serus in caelum redeas diuque
urn:cts:latinLit:phi0893.phi0011.2.46	laetus intersis populo Quirini
urn:cts:latinLit:phi0893.phi0011.2.47	neve te nostris vitiis iniquum
urn:cts:latinLit:phi0893.phi0011.2.48	ocior aura
urn:cts:latinLit:phi0893.phi0011.2.49	tollat; hic magnos potius triumphos,
urn:cts:latinLit:phi0893.phi0011.2.50	hic ames dici pater atque princeps
urn:cts:latinLit:phi0893.phi0011.2.51	neu sinas Medos equitare inultos
urn:cts:latinLit:phi0893.phi0011.2.52	te duce, Caesar.

urn:cts:latinLit:phi0893.phi0011.3.1	Sic te diva potens Cypri,
urn:cts:latinLit:phi0893.phi0011.3.2	sic fratres Helenae, lucida sidera,
urn:cts:latinLit:phi0893.phi0011.3.3	ventorumque regat pater
urn:cts:latinLit:phi0893.phi0011.3.4	obstrictis aliis praeter Iapyga,
urn:cts:latinLit:phi0893.phi0011.3.5	navis, quae tibi creditum
urn:cts:latinLit:phi0893.phi0011.3.6	debes Vergilium; finibus Atticis
urn:cts:latinLit:phi0893.phi0011.3.7	reddas incolumem precor
urn:cts:latinLit:phi0893.phi0011.3.8	et serves animae dimidium meae.
urn:cts:latinLit:phi0893.phi0011.3.9	illi robur et aes triplex
urn:cts:latinLit:phi0893.phi0011.3.10	circa pectus erat, qui fragilem truci
urn:cts:latinLit:phi0893.phi0011.3.11	conmisit pelago ratem
urn:cts:latinLit:phi0893.phi0011.3.12	primus: nec timuit praecipitem Africum
urn:cts:latinLit:phi0893.phi0011.3.13	decertantem Aquilonibus
urn:cts:latinLit:phi0893.phi0011.3.14	nec tristis Hyadas nec rabiem Noti,
urn:cts:latinLit:phi0893.phi0011.3.15	quo non arbiter Hadriae
urn:cts:latinLit:phi0893.phi0011.3.16	maior, tollere seu ponere volt freta;
urn:cts:latinLit:phi0893.phi0011.3.17	quem mortis timuit gradum
urn:cts:latinLit:phi0893.phi0011.3.18	qui siccis oculis monstra natantia,
