urn:cts:latinLit:phi0959.phi003:68	Fulgebit speculo levior ipsa suo.
urn:cts:latinLit:phi0959.phi003:69	Nec tu pallentes dubita torrere lupinos,
urn:cts:latinLit:phi0959.phi003:70	Et simul inflantes corpora frige fabas;
urn:cts:latinLit:phi0959.phi003:71	Utraque sex habeant aequo discrimine libras,
urn:cts:latinLit:phi0959.phi003:72	Utraque da nigris comminuenda molis.
urn:cts:latinLit:phi0959.phi003:73	Nec cerussa tibi nec nitri spuma rubentis
urn:cts:latinLit:phi0959.phi003:74	Desit et Illyrica quae venit iris humo.
urn:cts:latinLit:phi0959.phi003:75	Da validis iuvenum pariter subigenda lacertis:
urn:cts:latinLit:phi0959.phi003:76	Sed iustum tritis uncia pondus erit.
urn:cts:latinLit:phi0959.phi003:77	Addita de querulo volucrum medicamina nido
urn:cts:latinLit:phi0959.phi003:78	Ore fugant maculas: alcyonea vocant.
urn:cts:latinLit:phi0959.phi003:79	Pondere, si quaeris, quo sim contentus in illis,
urn:cts:latinLit:phi0959.phi003:80	Quod trahit in partes uncia secta duas.
urn:cts:latinLit:phi0959.phi003:81	Ut coeant apteque lini per corpora possint,
urn:cts:latinLit:phi0959.phi003:82	Adice de flavis Attica mella favis.
urn:cts:latinLit:phi0959.phi003:83	Quamvis tura deos irataque numina placent,
urn:cts:latinLit:phi0959.phi003:84	Non tamen accensis omnia danda focis.
urn:cts:latinLit:phi0959.phi003:85	Tus ubi miscueris radenti tubera nitro,
urn:cts:latinLit:phi0959.phi003:86	Ponderibus iustis fac sit utrimque triens.
urn:cts:latinLit:phi0959.phi003:87	Parte minus quarta dereptum cortice gummi,
urn:cts:latinLit:phi0959.phi003:88	Et modicum e myrrhis pinguibus adde cubum.
urn:cts:latinLit:phi0959.phi003:89	Haec ubi contrieris, per densa foramina cerne:
urn:cts:latinLit:phi0959.phi003:90	Pulvis ab infuso melle premendus erit.
urn:cts:latinLit:phi0959.phi003:91	Profuit et marathros bene olentibus addere myrrhis,
urn:cts:latinLit:phi0959.phi003:92	(Quinque trahant marathri scrupula, myrrha novem)
urn:cts:latinLit:phi0959.phi003:93	Arentisque rosae quantum manus una prehendat,
urn:cts:latinLit:phi0959.phi003:94	Cumque Ammoniaco mascula tura sale.
urn:cts:latinLit:phi0959.phi003:95	Hordea quem faciunt, illis affunde cremorem:
urn:cts:latinLit:phi0959.phi003:96	Aequent expensas cum sale tura rosas.
urn:cts:latinLit:phi0959.phi003:97	Tempore sint parvo molli licet illita vultu,
urn:cts:latinLit:phi0959.phi003:98	Haerebit toto multus in ore color.
urn:cts:latinLit:phi0959.phi003:99	Vidi quae gelida madefacta papavera lympha
urn:cts:latinLit:phi0959.phi003:100	Contereret, teneris illineretque genis.
