urn:cts:latinLit:phi0893.phi005:1.1.61	nil conscire sibi, nulla pallescere culpa.
urn:cts:latinLit:phi0893.phi005:1.1.62	Roscia, dic sodes, melior lex an puerorum est
urn:cts:latinLit:phi0893.phi005:1.1.63	nenia, quae regnum recte facientibus offert,
urn:cts:latinLit:phi0893.phi005:1.1.64	et maribus Curiis et decantata Camillis?
urn:cts:latinLit:phi0893.phi005:1.1.65	isne tibi melius suadet, qui "rem facias, rem,
urn:cts:latinLit:phi0893.phi005:1.1.66	si possis, recte, si non, quocumque modo, rem,"
urn:cts:latinLit:phi0893.phi005:1.1.67	ut propius spectes lacrimosa poemata Pupi,
urn:cts:latinLit:phi0893.phi005:1.1.68	an qui Fortunae te responsare superbae
urn:cts:latinLit:phi0893.phi005:1.1.69	liberum et erectum praesens hortatur et aptat ?
urn:cts:latinLit:phi0893.phi005:1.1.70	Quod si me populus Romanus forte roget, cur
urn:cts:latinLit:phi0893.phi005:1.1.71	non ut porticibus sic iudiciis fruar isdem,
urn:cts:latinLit:phi0893.phi005:1.1.72	nec sequar aut fugiam quae diligit ipse vel odit,
urn:cts:latinLit:phi0893.phi005:1.1.73	olim quod volpes aegroto cauta leoni
urn:cts:latinLit:phi0893.phi005:1.1.74	respondit, referam: "quia me vestigia terrent,
urn:cts:latinLit:phi0893.phi005:1.1.75	omnia te adversum spectantia, nulla retrorsum."
urn:cts:latinLit:phi0893.phi005:1.1.76	belua multorum es capitum, nam quid sequar aut quem?
urn:cts:latinLit:phi0893.phi005:1.1.77	pars hominum gestit conducere publica; sunt qui
urn:cts:latinLit:phi0893.phi005:1.1.78	frustis et pomis viduas venentur avaras
urn:cts:latinLit:phi0893.phi005:1.1.79	excipiantque senes, quos in vivaria mittant;
urn:cts:latinLit:phi0893.phi005:1.1.80	multis occulto crescit res faenore. Verum
urn:cts:latinLit:phi0893.phi005:1.1.81	esto aliis alios rebus studiisque teneri:
urn:cts:latinLit:phi0893.phi005:1.1.82	idem eadem possunt horam durare probantes?
urn:cts:latinLit:phi0893.phi005:1.1.83	"nullus in orbe sinus Bais praelucet amoenis,"
urn:cts:latinLit:phi0893.phi005:1.1.84	si dixit dives, lacus et mare sentit amorem
urn:cts:latinLit:phi0893.phi005:1.1.85	festinantis eri; cui si vitiosa libido
urn:cts:latinLit:phi0893.phi005:1.1.86	fecerit auspicium, "cras ferramenta Teanum
urn:cts:latinLit:phi0893.phi005:1.1.87	tolletis, fabri!" lectus genialis in aula est:
urn:cts:latinLit:phi0893.phi005:1.1.88	nil ait esse prius, melius nil caelibe vita;
urn:cts:latinLit:phi0893.phi005:1.1.89	si non est, iurat bene solis esse maritis.
urn:cts:latinLit:phi0893.phi005:1.1.90	quo teneant voltus mutantem Protea nodo?
urn:cts:latinLit:phi0893.phi005:1.1.91	quid pauper? ride: mutat cenacula, lectos,
urn:cts:latinLit:phi0893.phi005:1.1.92	balnea, tonsores, conducto navigio aeque
urn:cts:latinLit:phi0893.phi005:1.1.93	nauseat ac locuples, quem ducit priva triremis.
urn:cts:latinLit:phi0893.phi005:1.1.94	Si curatus inaequali tonsore capillos
urn:cts:latinLit:phi0893.phi005:1.1.95	occurri, rides; si forte subucula pexae
urn:cts:latinLit:phi0893.phi005:1.1.96	trita subest tunicae, vel si toga dissidet impar,
urn:cts:latinLit:phi0893.phi005:1.1.97	rides: quid, mea cum pugnat sententia secum,
urn:cts:latinLit:phi0893.phi005:1.1.98	quod petiit spernit, repetit quod nuper omisit,
urn:cts:latinLit:phi0893.phi005:1.1.99	aestuat et vitae disconvenit ordine toto,
urn:cts:latinLit:phi0893.phi005:1.1.100	diruit, aedificat, mutat quadrata rotundis?
urn:cts:latinLit:phi0893.phi005:1.1.101	insanire putas sollemnia me neque rides,
urn:cts:latinLit:phi0893.phi005:1.1.102	nec medici credis nec curatoris egere
urn:cts:latinLit:phi0893.phi005:1.1.103	a praetore dati, rerum tutela mearum
urn:cts:latinLit:phi0893.phi005:1.1.104	cum sis et prave sectum stomacheris ob unguem
urn:cts:latinLit:phi0893.phi005:1.1.105	de te pendentis, te respicientis amici.
urn:cts:latinLit:phi0893.phi005:1.1.106	Ad summam: sapiens uno minor est Iove, dives,
urn:cts:latinLit:phi0893.phi005:1.1.107	liber, honoratus, pulcher, rex denique regum,
urn:cts:latinLit:phi0893.phi005:1.1.108	praecipue sanus, nisi cum pituita molesta est.

urn:cts:latinLit:phi0893.phi005:1.2.1	Troiam belli scriptorem. Maxime Lolli,
urn:cts:latinLit:phi0893.phi005:1.2.2	dum tu declamas Romae, Praeneste relegi;
urn:cts:latinLit:phi0893.phi005:1.2.3	qui quid sit pulchrum, quid turpe, quid utile, quid non,
urn:cts:latinLit:phi0893.phi005:1.2.4	planius ac melius Chrysippo et Crantore dicit,
urn:cts:latinLit:phi0893.phi005:1.2.5	cur ita crediderim, nisi quid te distinet, audi.
urn:cts:latinLit:phi0893.phi005:1.2.6	Fabula, qua Paridis propter narratur amorem
urn:cts:latinLit:phi0893.phi005:1.2.7	Graecia barbariae lento collisa duello,
urn:cts:latinLit:phi0893.phi005:1.2.8	stultorum regum et populorum continet aestus.
urn:cts:latinLit:phi0893.phi005:1.2.9	Antenor censet belli praecidere causam:
urn:cts:latinLit:phi0893.phi005:1.2.10	quid Paris? ut salvus regnet vivatque beatus
urn:cts:latinLit:phi0893.phi005:1.2.11	cogi posse negat. Nestor componere litis
urn:cts:latinLit:phi0893.phi005:1.2.12	inter Peliden festinat et inter Atriden;
urn:cts:latinLit:phi0893.phi005:1.2.13	hunc amor, ira quidem communiter urit utrumque,
urn:cts:latinLit:phi0893.phi005:1.2.14	quidquid delirant reges, plectuntur Achivi.
urn:cts:latinLit:phi0893.phi005:1.2.15	seditione, dolis, scelere atque libidine et ira
urn:cts:latinLit:phi0893.phi005:1.2.16	Iliacos intra muros peccatur et extra.
urn:cts:latinLit:phi0893.phi005:1.2.17	Rursus, quid virtus et quid sapientia possit,
urn:cts:latinLit:phi0893.phi005:1.2.18	utile proposuit nobis exemplar Ulixen,
urn:cts:latinLit:phi0893.phi005:1.2.19	qui domitor Troiae multorum providus urbes
urn:cts:latinLit:phi0893.phi005:1.2.20	et mores hominum inspexit, latumque per aequor,
urn:cts:latinLit:phi0893.phi005:1.2.21	dum sibi, dum sociis reditum parat, aspera multa
urn:cts:latinLit:phi0893.phi005:1.2.22	pertulit, adversis rerum immersabilis undis.
urn:cts:latinLit:phi0893.phi005:1.2.23	Sirenum voces et Circae pocula nosti;
urn:cts:latinLit:phi0893.phi005:1.2.24	quae si cum sociis stultus cupidusque bibisset,
urn:cts:latinLit:phi0893.phi005:1.2.25	sub domina meretrice fuisset turpis et excors,
urn:cts:latinLit:phi0893.phi005:1.2.26	vixisset canis immundus vel amica luto sus.
urn:cts:latinLit:phi0893.phi005:1.2.27	nos numerus sumus et fruges consumere nati,
urn:cts:latinLit:phi0893.phi005:1.2.28	sponsi Penelopae nebulones, Alcinoique
urn:cts:latinLit:phi0893.phi005:1.2.29	in cute curanda plus aequo operata iuventus,
urn:cts:latinLit:phi0893.phi005:1.2.30	cui pulchrum fuit in medios dormire dies et
urn:cts:latinLit:phi0893.phi005:1.2.31	ad strepitum citharae cessatum ducere curam.
urn:cts:latinLit:phi0893.phi005:1.2.32	Ut iugulent hominem, surgunt de nocte latrones;
urn:cts:latinLit:phi0893.phi005:1.2.33	ut te ipsum serves, non expergisceris? atqui
urn:cts:latinLit:phi0893.phi005:1.2.34	si noles sanus, curres hydropicus; et ni
urn:cts:latinLit:phi0893.phi005:1.2.35	posces ante diem librum cum lumine, si non
urn:cts:latinLit:phi0893.phi005:1.2.36	intendes animum studiis et rebus honestis,
urn:cts:latinLit:phi0893.phi005:1.2.37	invidia vel amore vigil torquebere. nam cur
urn:cts:latinLit:phi0893.phi005:1.2.38	quae laedunt oculum festinas demere; si quid
urn:cts:latinLit:phi0893.phi005:1.2.39	est animum, differs curandi tempus in annum?
urn:cts:latinLit:phi0893.phi005:1.2.40	dimidium facti qui coepit habet; sapere aude;
urn:cts:latinLit:phi0893.phi005:1.2.41	incipe! qui recte vivendi prorogat horam,
urn:cts:latinLit:phi0893.phi005:1.2.42	rusticus exspectat dum defluat amnis; at ille
urn:cts:latinLit:phi0893.phi005:1.2.43	labitur et labitur in omne volubilis aevum
urn:cts:latinLit:phi0893.phi005:1.2.44	Quaeritur argentum puerisque beata creandis
urn:cts:latinLit:phi0893.phi005:1.2.45	uxor, et incultae pacantur vomere silvae:
urn:cts:latinLit:phi0893.phi005:1.2.46	quod satis est cui contingit, nihil amplius optet.
urn:cts:latinLit:phi0893.phi005:1.2.47	non domus et fundus, non aeris acervus et auri
urn:cts:latinLit:phi0893.phi005:1.2.48	aegroto domini deduxit corpore febris,
urn:cts:latinLit:phi0893.phi005:1.2.49	non animo curas; valeat possessor oportet,
urn:cts:latinLit:phi0893.phi005:1.2.50	si comportatis rebus bene cogitat uti.
urn:cts:latinLit:phi0893.phi005:1.2.51	qui cupit aut metuit, iuvat illum sic domus et res,
urn:cts:latinLit:phi0893.phi005:1.2.52	ut lippum pictae tabulae, fomenta podagram,
urn:cts:latinLit:phi0893.phi005:1.2.53	auriculas citharae collecta sorde dolentis.
urn:cts:latinLit:phi0893.phi005:1.2.54	sincerum est nisi vas, quodcumque infundis acescit.
urn:cts:latinLit:phi0893.phi005:1.2.55	Sperne voluptates; nocet empta dolore voluptas,
urn:cts:latinLit:phi0893.phi005:1.2.56	semper avarus eget; certum voto pete finem.
urn:cts:latinLit:phi0893.phi005:1.2.57	invidus alterius macrescit rebus opimis;
urn:cts:latinLit:phi0893.phi005:1.2.58	invidia Siculi non invenere tyranni
urn:cts:latinLit:phi0893.phi005:1.2.59	maius tormentum, qui non moderabitur irae,
urn:cts:latinLit:phi0893.phi005:1.2.60	infectum volet esse, dolor quod suaserit et mens,
urn:cts:latinLit:phi0893.phi005:1.2.61	dum poenas odio per vim festinat inulto,
urn:cts:latinLit:phi0893.phi005:1.2.62	ira furor brevis est: animum rege; qui nisi paret
urn:cts:latinLit:phi0893.phi005:1.2.63	imperat; hunc frenis, hunc tu compesce catena.
urn:cts:latinLit:phi0893.phi005:1.2.64	Fingit equum tenera docilem cervice magister
urn:cts:latinLit:phi0893.phi005:1.2.65	ire viam qua monstret eques; venaticus, ex quo
urn:cts:latinLit:phi0893.phi005:1.2.66	tempore cervinam pellem latravit in aula,
urn:cts:latinLit:phi0893.phi005:1.2.67	militat in silvis catulus, nunc adhibe puro
urn:cts:latinLit:phi0893.phi005:1.2.68	pectore verba puer, nunc te melioribus offer,
urn:cts:latinLit:phi0893.phi005:1.2.69	quo semel est imbuta recens, servabit odorem
urn:cts:latinLit:phi0893.phi005:1.2.70	testa diu. quod si cessas aut strenuus anteis,
urn:cts:latinLit:phi0893.phi005:1.2.71	nec tardum opperior nec praecedentibus insto.

urn:cts:latinLit:phi0893.phi005:1.3.1	Iuli Flore, quibus terrarum militet oris
urn:cts:latinLit:phi0893.phi005:1.3.2	Claudius Augusti privignus, scire laboro.
urn:cts:latinLit:phi0893.phi005:1.3.3	Thracane vos Hebrusque nivali compede vinctus,
urn:cts:latinLit:phi0893.phi005:1.3.4	an freta vicinas inter currentia turris,
urn:cts:latinLit:phi0893.phi005:1.3.5	an pingues Asiae campi collesque morantur?
urn:cts:latinLit:phi0893.phi005:1.3.6	Quid studiosa cohors operum struit? hoc quoque curo.
urn:cts:latinLit:phi0893.phi005:1.3.7	quis sibi res gestas Augusti scribere sumit?
urn:cts:latinLit:phi0893.phi005:1.3.8	bella quis et paces longum diffundit in aevum?
urn:cts:latinLit:phi0893.phi005:1.3.9	quid Titius, Romana brevi venturus in ora?
urn:cts:latinLit:phi0893.phi005:1.3.10	Pindarici fontis qui non expalluit haustus,
urn:cts:latinLit:phi0893.phi005:1.3.11	fastidire lacus et rivos ausus apertos, ut valet?
urn:cts:latinLit:phi0893.phi005:1.3.12	ut meminit nostri? fidibusne Latinis
urn:cts:latinLit:phi0893.phi005:1.3.13	Thebanos aptare modos studet auspice Musa,
