urn:cts:latinLit:phi0690.phi001:1.63	aut Ararim Parthus bibet, aut Germania Tigrim,
urn:cts:latinLit:phi0690.phi001:1.64	quam nostro illius labatur pectore voltus.
urn:cts:latinLit:phi0690.phi001:1.65	At nos hinc alii sitientis ibimus Afros,
urn:cts:latinLit:phi0690.phi001:1.66	pars Scythiam et rapidum Cretae veniemus Oaxen,
urn:cts:latinLit:phi0690.phi001:1.67	et penitus toto divisos orbe Britannos.
urn:cts:latinLit:phi0690.phi001:1.68	En umquam patrios longo post tempore finis,
urn:cts:latinLit:phi0690.phi001:1.69	pauperis et tuguri congestum caespite culmen,
urn:cts:latinLit:phi0690.phi001:1.70	post aliquot mea regna videns mirabor aristas?
urn:cts:latinLit:phi0690.phi001:1.71	Impius haec tam culta novalia miles habebit,
urn:cts:latinLit:phi0690.phi001:1.72	barbarus has segetes? En, quo discordia civis
urn:cts:latinLit:phi0690.phi001:1.73	produxit miseros! His nos consevimus agros!
urn:cts:latinLit:phi0690.phi001:1.74	Insere nunc, Meliboee, piros, pone ordine vitis.
urn:cts:latinLit:phi0690.phi001:1.75	Ite meae, felix quondam pecus, ite capellae.
urn:cts:latinLit:phi0690.phi001:1.76	Non ego vos posthac, viridi proiectus in antro,
urn:cts:latinLit:phi0690.phi001:1.77	dumosa pendere procul de rupe videbo;
urn:cts:latinLit:phi0690.phi001:1.78	carmina nulla canam; non, me pascente, capellae,
urn:cts:latinLit:phi0690.phi001:1.79	florentem cytisum et salices carpetis amaras.
urn:cts:latinLit:phi0690.phi001:1.80	Hic tamen hanc mecum poteras requiescere noctem
urn:cts:latinLit:phi0690.phi001:1.81	fronde super viridi: sunt nobis mitia poma,
urn:cts:latinLit:phi0690.phi001:1.82	castaneae molles, et pressi copia lactis;
urn:cts:latinLit:phi0690.phi001:1.83	et iam summa procul villarum culmina fumant,
urn:cts:latinLit:phi0690.phi001:1.84	maioresque cadunt altis de montibus umbrae.
urn:cts:latinLit:phi0690.phi001:2.1	Formosum pastor Corydon ardebat Alexim,
urn:cts:latinLit:phi0690.phi001:2.2	delicias domini, nec quid speraret habebat;
urn:cts:latinLit:phi0690.phi001:2.3	tantum inter densas, umbrosa cacumina, fagos
urn:cts:latinLit:phi0690.phi001:2.4	adsidue veniebat. Ibi haec incondita solus
urn:cts:latinLit:phi0690.phi001:2.5	montibus et silvis studio iactabat inani:
urn:cts:latinLit:phi0690.phi001:2.6	O crudelis Alexi, nihil mea carmina curas?
urn:cts:latinLit:phi0690.phi001:2.7	Nil nostri miserere? Mori me denique coges.
urn:cts:latinLit:phi0690.phi001:2.8	nunc etiam pecudes umbras et frigora captant;
urn:cts:latinLit:phi0690.phi001:2.9	nunc viridis etiam occultant spineta lacertos,
urn:cts:latinLit:phi0690.phi001:2.10	Thestylis et rapido fessis messoribus aestu
urn:cts:latinLit:phi0690.phi001:2.11	alia serpyllumque herbas contundit olentis.
urn:cts:latinLit:phi0690.phi001:2.12	at mecum raucis, tua dum vestigia lustro,
urn:cts:latinLit:phi0690.phi001:2.13	sole sub ardenti resonant arbusta cicadis.
urn:cts:latinLit:phi0690.phi001:2.14	Nonne fuit satius tristis Amaryllidis iras
urn:cts:latinLit:phi0690.phi001:2.15	atque superba pati fastidia, nonne Menalcan,
urn:cts:latinLit:phi0690.phi001:2.16	quam vis ille niger, quamvis tu candidus esses ?
urn:cts:latinLit:phi0690.phi001:2.17	o formose puer, nimium ne crede colori!
urn:cts:latinLit:phi0690.phi001:2.18	alba ligustra cadunt, vaccinia nigra leguntur.
urn:cts:latinLit:phi0690.phi001:2.19	Despectus tibi sum, nec qui sim quaeris, Alexi,
urn:cts:latinLit:phi0690.phi001:2.20	quam dives pecoris, nivei quam lactis abundans.
urn:cts:latinLit:phi0690.phi001:2.21	mille meae Siculis errant in montibus agnae;
urn:cts:latinLit:phi0690.phi001:2.22	lac mihi non aestate novum, non frigore defit;
urn:cts:latinLit:phi0690.phi001:2.23	canto quae solitus, si quando armenta vocabat,
urn:cts:latinLit:phi0690.phi001:2.24	Amphion Dircaeus in Actaeo Aracimtho.
urn:cts:latinLit:phi0690.phi001:2.25	Nec sum adeo informis: nuper me in litore vidi,
urn:cts:latinLit:phi0690.phi001:2.26	cum placidum ventis staret mare; non ego Daphnim
urn:cts:latinLit:phi0690.phi001:2.27	iudice te metuam, si numquam fallit imago.
urn:cts:latinLit:phi0690.phi001:2.28	O tantum libeat mecum tibi sordida rura
urn:cts:latinLit:phi0690.phi001:2.29	atque humilis habitare casas, et figere cervos,
urn:cts:latinLit:phi0690.phi001:2.30	haedorumque gregem viridi compellere hibisco!
urn:cts:latinLit:phi0690.phi001:2.31	Mecum una in silvis imitabere Pana canendo.
urn:cts:latinLit:phi0690.phi001:2.32	Pan primus calamos cera coniungere pluris
urn:cts:latinLit:phi0690.phi001:2.33	instituit; Pan curat ovis oviumque magistros.
urn:cts:latinLit:phi0690.phi001:2.34	Nec te paeniteat calamo trivisse labellum:
urn:cts:latinLit:phi0690.phi001:2.35	haec eadem ut sciret, quid non faciebat Amyntas?
urn:cts:latinLit:phi0690.phi001:2.36	est mihi disparibus septem compacta cicutis
urn:cts:latinLit:phi0690.phi001:2.37	fistula, Damoetas dono mihi quam dedit olim,
urn:cts:latinLit:phi0690.phi001:2.38	et dixit moriens: “Te nunc habet ista secundum.”
urn:cts:latinLit:phi0690.phi001:2.39	dixit Damoetas, invidit stultus Amyntas.
urn:cts:latinLit:phi0690.phi001:2.40	Praeterea duo, nec tuta mihi valle reperti,
urn:cts:latinLit:phi0690.phi001:2.41	capreoli, sparsis etiam nunc pellibus albo,
urn:cts:latinLit:phi0690.phi001:2.42	bina die siccant ovis ubera; quos tibi servo:
urn:cts:latinLit:phi0690.phi001:2.43	iam pridem a me illos abducere Thestylis orat;
urn:cts:latinLit:phi0690.phi001:2.44	et faciet, quoniam sordent tibi munera nostra.
urn:cts:latinLit:phi0690.phi001:2.45	Huc ades, O formose puer: tibi lilia plenis
urn:cts:latinLit:phi0690.phi001:2.46	ecce ferunt Nymphae calathis; tibi candida Nais,
urn:cts:latinLit:phi0690.phi001:2.47	pallentis violas et summa papavera carpens,
urn:cts:latinLit:phi0690.phi001:2.48	narcissum et florem iungit bene olentis anethi;
urn:cts:latinLit:phi0690.phi001:2.49	tum casia atque aliis intexens suavibus herbis,
urn:cts:latinLit:phi0690.phi001:2.50	mollia luteola pingit vaccinia calta.
urn:cts:latinLit:phi0690.phi001:2.51	Ipse ego cana legam tenera lanugine mala,
urn:cts:latinLit:phi0690.phi001:2.52	castaneasque nuces, mea quas Amaryllis amabat;
urn:cts:latinLit:phi0690.phi001:2.53	addam cerea pruna: honos erit huic quoque pomo;
urn:cts:latinLit:phi0690.phi001:2.54	et vos, O lauri, carpam, et te, proxima myrte,
urn:cts:latinLit:phi0690.phi001:2.55	sic positae quoniam suavis miscetis odores.
urn:cts:latinLit:phi0690.phi001:2.56	Rusticus es, Corydon: nec munera curat Alexis,
urn:cts:latinLit:phi0690.phi001:2.57	nec, si muneribus certes, concedat Iollas.
urn:cts:latinLit:phi0690.phi001:2.58	Heu, heu, quid volui misero mihi! Floribus austrum
urn:cts:latinLit:phi0690.phi001:2.59	perditus et liquidis inmisi fontibus apros.
urn:cts:latinLit:phi0690.phi001:2.60	Quem fugis, ah, demens? Habitarunt di quoque silvas,
urn:cts:latinLit:phi0690.phi001:2.61	Dardaniusque Paris. Pallas, quas condidit arces,
urn:cts:latinLit:phi0690.phi001:2.62	ipsa colat; nobis placeant ante omnia silvae.
urn:cts:latinLit:phi0690.phi001:2.63	Torva leaena lupum sequitur; lupus ipse capellam;
urn:cts:latinLit:phi0690.phi001:2.64	florentem cytisum sequitur lasciva capella;
urn:cts:latinLit:phi0690.phi001:2.65	te Corydon, o Alexi: trahit sua quemque voluptas.
urn:cts:latinLit:phi0690.phi001:2.66	Aspice, aratra iugo referunt suspensa iuvenci,
urn:cts:latinLit:phi0690.phi001:2.67	et sol crescentis decedens duplicat umbras:
urn:cts:latinLit:phi0690.phi001:2.68	me tamen urit amor; quis enim modus adsit amori?
urn:cts:latinLit:phi0690.phi001:2.69	Ah, Corydon, Corydon, quae te dementia cepit!
urn:cts:latinLit:phi0690.phi001:2.70	Semiputata tibi frondosa vitis in ulmo est;
urn:cts:latinLit:phi0690.phi001:2.71	quin tu aliquid saltem potius, quorum indiget usus,
urn:cts:latinLit:phi0690.phi001:2.72	viminibus mollique paras detexere iunco?
urn:cts:latinLit:phi0690.phi001:2.73	Invenies alium, si te hic fastidit, Alexim.
urn:cts:latinLit:phi0690.phi001:3.1	Dic mihi, Damoeta, cuium pecus, an Meliboei?
urn:cts:latinLit:phi0690.phi001:3.2	Non, verum Aegonis; nuper mihi tradidit Aegon.
urn:cts:latinLit:phi0690.phi001:3.3	Infelix o semper, ovis, pecus, ipse Neaeram
urn:cts:latinLit:phi0690.phi001:3.4	dum fovet, ac ne me sibi praeferat illa veretur,
urn:cts:latinLit:phi0690.phi001:3.5	hic alienus ovis custos bis mulget in hora,
