URN,Author,Work
urn:cts:omar:phi0474.phi041:,Cicero,De Optimo Genere Oratorum
urn:cts:omar:phi0474.phi037:,Cicero,De Oratore
urn:cts:latinLit:phi0474.phi038:,Cicero,De Partitione Oratore
urn:cts:latinLit:phi0474.phi043:,Cicero,De Republica
urn:cts:latinLit:phi0474.phi051:,Cicero,De Senectute
urn:cts:latinLit:phi0474.phi020:,Cicero,De domo sua
urn:cts:latinLit:phi0474.phi021:,Cicero,De haruspicum responso
urn:cts:latinLit:phi0474.phi009:,Cicero,De imperio Cn. Pompei
urn:cts:latinLit:phi0474.phi011:,Cicero,De lege agraria contra Rullum
urn:cts:latinLit:phi0474.phi025:,Cicero,De provinciis consularibus
urn:cts:latinLit:phi0474.phi005:,Cicero,Divinatio in C. Verrem
urn:cts:latinLit:phi0474.phi004:,Cicero,Divinatio in Q. Caecilius
urn:cts:latinLit:phi0474.phi056:,Cicero,Epistulae ad Familiares
urn:cts:latinLit:phi0474.phi013:,Cicero,In Catilinam
urn:cts:latinLit:phi0474.phi027:,Cicero,In L. Pisonem
urn:cts:latinLit:phi0474.phi023:,Cicero,In Vatinium
urn:cts:latinLit:phi0474.phi052:,Cicero,Letters to Atticus
urn:cts:latinLit:phi0474.phi059:,Cicero,Letters to and from Brutus
urn:cts:latinLit:phi0474.phi058:,Cicero,Letters to and from Quintus
urn:cts:latinLit:phi0474.phi046:,Cicero,Lucullus
urn:cts:latinLit:phi0474.phi040:,Cicero,Orator
urn:cts:latinLit:phi0474.phi047:,Cicero,Paradoxa stoicorum ad M. Brutum
urn:cts:latinLit:phi0474.phi035:,Cicero,Philippicae
urn:cts:latinLit:phi0474.phi019:,Cicero,Post reditum in senatu
urn:cts:latinLit:phi0474.phi008:,Cicero,Pro A. Caecina
urn:cts:latinLit:phi0474.phi016:,Cicero,Pro Archia
urn:cts:latinLit:phi0474.phi026:,Cicero,Pro Balbo
urn:cts:latinLit:phi0474.phi012:,Cicero,Pro C. Rabiro perduellionis reo
urn:cts:latinLit:phi0474.phi030:,Cicero,Pro C. Rabiro postumo
urn:cts:latinLit:phi0474.phi010:,Cicero,Pro Cluentio
urn:cts:latinLit:phi0474.phi007:,Cicero,Pro Fonteio
urn:cts:latinLit:phi0474.phi017:,Cicero,Pro L. Flacco
urn:cts:latinLit:phi0474.phi033:,Cicero,Pro Ligario
urn:cts:latinLit:phi0474.phi024:,Cicero,Pro M. Caelio
urn:cts:latinLit:phi0474.phi032:,Cicero,Pro Marcello
urn:cts:latinLit:phi0474.phi031:,Cicero,Pro Milone
urn:cts:latinLit:phi0474.phi014:,Cicero,Pro Murena
urn:cts:latinLit:phi0474.phi028:,Cicero,Pro Plancio
urn:cts:latinLit:phi0474.phi001:,Cicero,Pro Publius Quincto
urn:cts:latinLit:phi0474.phi003:,Cicero,Pro Q. Roscio comoedo
urn:cts:latinLit:phi0474.phi012:,Cicero,Pro Rabiro perduellionis reo
urn:cts:latinLit:phi0474.phi034:,Cicero,Pro Rege Deiotaro
urn:cts:latinLit:phi0474.phi002:,Cicero,Pro S. Roscio
urn:cts:latinLit:phi0474.phi029:,Cicero,Pro Scauro
urn:cts:latinLit:phi0474.phi022:,Cicero,Pro Sestio
urn:cts:latinLit:phi0474.phi015:,Cicero,Pro Sulla
urn:cts:latinLit:phi0474.phi006:,Cicero,Pro Tullio
urn:cts:latinLit:phi0474.phi072:,Cicero,Timaeus
urn:cts:latinLit:phi0474.phi042:,Cicero,Topica
urn:cts:latinLit:phi0474.phi049:,Cicero,Tusculanae Disputationes
urn:cts:omar:stoa0089.stoa004:,Claudianus,De consulatu Stilichonis
urn:cts:omar:stoa0089.stoa006:,Claudianus,Epithalamium de nuptiis Honorii Augusti
urn:cts:omar:stoa0089.stoa003:,Claudianus,de Bello Gothico
urn:cts:omar:stoa0089.stoa005:,Claudianus,de raptu Proserpinae
,Clement of Alexandria,Exhortation to Endurance or to the Newly Baptized
,Clement of Alexandria,Protrepticus
,Clement of Alexandria,Quis Dis Salvetur
,Colluthus,Rape of Helen
,Columella,Res Rustica
urn:cts:latinLit:phi0860.phi001:,Curtius Rufus,Historiae Alexandri Magni
,Demades,On the Twelve Years
,Demosthenes,Against Androtion
,Demosthenes,Against Apatourius
,Demosthenes,Against Aphobus (29)
,Demosthenes,Against Aphobus 1
,Demosthenes,Against Aphobus 2
,Demosthenes,Against Aristocrates
,Demosthenes,Against Aristogiton 1
,Demosthenes,Against Aristogiton 2
,Demosthenes,Against Boeotus 1
,Demosthenes,Against Boeotus 2
,Demosthenes,Against Callicles
,Demosthenes,Against Callippus
,Demosthenes,Against Conon
,Demosthenes,Against Dionysodorus
,Demosthenes,Against Eubulides
,Demosthenes,Against Evergus and Mnesibulus
,Demosthenes,Against Lacritus
,Demosthenes,Against Leochares
,Demosthenes,Against Leptines
,Demosthenes,Against Macartatus
,Demosthenes,Against Midias
,Demosthenes,Against Nausimachus and Xenopeithes
,Demosthenes,Against Neaera
,Demosthenes,Against Nicostratus
,Demosthenes,Against Olympiodorus
,Demosthenes,Against Onetor (30)
,Demosthenes,Against Onetor (31)
,Demosthenes,Against Pantaenetus
,Demosthenes,Against Phaenippus
,Demosthenes,Against Phormio
,Demosthenes,Against Polycles
,Demosthenes,Against Spudias
,Demosthenes,Against Stephanus 1
,Demosthenes,Against Stephanus 2
,Demosthenes,Against Theocrines
,Demosthenes,Against Timocrates
,Demosthenes,Against Timotheus
,Demosthenes,Against Zenothemis
,Demosthenes,Erotic Essay
,Demosthenes,Exordia
,Demosthenes,For Phormio
,Demosthenes,For the Megalopitans
,Demosthenes,Funeral Speech
,Demosthenes,Letters
,Demosthenes,Olynthiac 1
,Demosthenes,Olynthiac 2
,Demosthenes,Olynthiac 3
,Demosthenes,On Organization
,Demosthenes,On the Accession of Alexander
,Demosthenes,On the Chersonese
,Demosthenes,On the Crown
,Demosthenes,On the False Embassy
,Demosthenes,On the Halonnesus
,Demosthenes,On the Liberty of the Rhodians
,Demosthenes,On the Navy
,Demosthenes,On the Peace
,Demosthenes,On the Trierarchic Crown
,Demosthenes,Philip
,Demosthenes,Philippic 1
,Demosthenes,Philippic 2
,Demosthenes,Philippic 3
,Demosthenes,Philippic 4
,Demosthenes,Reply to Philip
,Dinarchus,Against Aristogiton
,Dinarchus,Against Demosthenes
,Dinarchus,Against Philocles
,Dionysius of Halicarnassus,Ad Ammaeum
,Dionysius of Halicarnassus,Antiquitates Romanae Books I-XX
,Dionysius of Halicarnassus,De Antiquis Oratoribus
,Dionysius of Halicarnassus,De Compositione Verborum
,Dionysius of Halicarnassus,De Demosthene
,Dionysius of Halicarnassus,De Dinarcho
,Dionysius of Halicarnassus,De Isaeo
,Dionysius of Halicarnassus,De Isocrate
,Dionysius of Halicarnassus,De Lysia
,Dionysius of Halicarnassus,De Thucydide
,Dionysius of Halicarnassus,De Thucydidis idiomatibus (epistula ad Ammaeum)
,Dionysius of Halicarnassus,Epistula ad Pompeium Geminum
,Dionysius of Halicarnassus,Libri secundi de antiquis oratoribus reliquiae
,Euclid,Elements
,Euripides,Alcestis
,Euripides,Andromache
,Euripides,Bacchae
,Euripides,Cyclops
,Euripides,Electra
,Euripides,Hecuba
,Euripides,Helen
,Euripides,Heracleidae
,Euripides,Heracles
,Euripides,Hippolytus
,Euripides,Ion
,Euripides,Iphigenia in Aulis
,Euripides,Iphigenia in Tauris
,Euripides,Medea
,Euripides,Orestes
,Euripides,Phoenissae
,Euripides,Rhesus
,Euripides,Suppliants
,Euripides,The Trojan Women
,Eusebius of Caesarea,Historia ecclesiastica
,Marcus Mincius Felix ,Octavius
,Flavius Josephus,Antiquitates Judaicae
,Flavius Josephus,Contra Apionem
,Flavius Josephus,De Bello Judaico Libri Vii
urn:cts:latinLit:phi1242.phi001:,Florus,Epitome Rerum Romanorum
,Galen,On the Natural Faculties.
urn:cts:latinLit:phi1254.phi001:,Gellius,Attic Nights
,Glass,Washingtonii Vita
,Herodotus,The Histories
,Hippocrates,Hippocrates Collected Works I
urn:cts:latinLit:phi0893.phi006:,Horace,Ars Poetica
urn:cts:latinLit:phi0893.phi002:,Horace,Carmen Saeculare
urn:cts:latinLit:phi0893.phi005:,Horace,Epistles
urn:cts:latinLit:phi0893.phi003:,Horace,Epodes
urn:cts:latinLit:phi0893.phi001:,Horace,Odes
urn:cts:latinLit:phi0893.phi004:,Horace,Satires
,Hyperides,Speeches (Greek). Machine readable text
,Isaeus,Speeches (Greek). Machine readable text
,Jerome,Epistulae. Selections.
,Jerome,Vulgate
urn:cts:omar:phi0448.phi001:,Julius Caesar,De Bello Gallico
urn:cts:latinLit:phi1276.phi001:,Juvenal,Satires
urn:cts:omar:phi0914.phi001:,Livy,Ab urbe condita
urn:cts:latinLit:phi0917.phi001:,Lucan,Pharsalia
,Lucian,Abdicatus
,Lucian,Adversus indoctum et libros multos ementem
,Lucian,Alexander
,Lucian,Anacharsis
,Lucian,Apologia
,Lucian,Bacchus
,Lucian,Bis accusatus sive tribunalia
,Lucian,Calumniae non temere credundum
,Lucian,Cataplus
,Lucian,Contemplantes
,Lucian,De Domo
,Lucian,De Syria dea
,Lucian,De astrologia
,Lucian,De luctu
,Lucian,De mercede
,Lucian,De morte Peregrini
,Lucian,De parasito sive artem esse parasiticam
,Lucian,De sacrificiis
,Lucian,De saltatione
,Lucian,Dearum judicium
,Lucian,Demonax
,Lucian,Deorum concilium
,Lucian,Dialogi Marini
,Lucian,Dialogi deorum
,Lucian,Dialogi meretricii
,Lucian,Dialogi mortuorum
,Lucian,Dipsades
,Lucian,Electrum
,Lucian,Eunuchus
,Lucian,Fugitivi
,Lucian,Gallus
,Lucian,Harmonides
,Lucian,Hercules
,Lucian,Hermotimus
,Lucian,Herodotus
,Lucian,Hesiod
,Lucian,Hippias
,Lucian,Icaromenippus
,Lucian,Imagines
,Lucian,Judicium vocalium
,Lucian,Juppiter confuatus
,Lucian,Juppiter trageodeus
,Lucian,Lexiphanes
,Lucian,Macrobii
,Lucian,Muscae Encomium
,Lucian,Navigium
,Lucian,Necyomantia
,Lucian,Nigrinus
,Lucian,Patriae Encomium
,Lucian,Phalaris
,Lucian,Philopsuedes Sive Incredulus
,Lucian,Piscator
,Lucian,Podagra
,Lucian,Pro imaginibus
,Lucian,Pro lapsu inter salutandum
,Lucian,Prometheus
,Lucian,Prometheus es in verbis
,Lucian,Pseudologista
,Lucian,Quomodo historia conscribenda sit
,Lucian,Rhetorum praeceptor
,Lucian,Saturnalia
,Lucian,Scytha
,Lucian,Soleocista
,Lucian,Somnium sive vita Luciani
,Lucian,Symposium
,Lucian,Timon
,Lucian,Toxaris vel amicitia
,Lucian,Tyrannicida
,Lucian,Verae Historiae
,Lucian,Vitarum auctio
,Lucian,Zeuxis
,Lucretius,De Rerum Natura
,Lycophron,Alexandra
,Lycurgus,Speeches
,Lycurgus,Speeches (Greek). Machine readable text
,Marcus Aurelius,M. Antonius Imperator Ad Se Ipsum
,Martial,Epigrams
urn:cts:latinLit:phi0588.phi001:,Nepos,Vitae
,Nonnus of Panopolis,Dionysiaca
,Oppian of Apamea,Cynegetica
,Oppian,Halieutica
urn:cts:latinLit:phi0959.phi001:,Ovid,Amores
urn:cts:latinLit:phi0959.phi004:,Ovid,Ars Amatoria
urn:cts:latinLit:phi0959.phi009:,Ovid,Ex Ponto
urn:cts:latinLit:phi0959.phi007:,Ovid,Fasti
,Ovid,Heroides
urn:cts:latinLit:phi0959.phi003:,Ovid,Medicamina Faciei Femineae
urn:cts:latinLit:phi0959.phi006:,Ovid,Metamorphoses
urn:cts:latinLit:phi0959.phi005:,Ovid,Remedia Amoris
urn:cts:latinLit:phi0959.phi008:,Ovid,Tristia
,Pausanias,Description of Greece (Greek). Machine readable text
,Persius,Satires
,Philostratus the Athenian,De Gymnastica
,Philostratus the Athenian,Epistulae et Dialexeis
,Philostratus the Athenian,Heroicus
,Philostratus the Lemnian,Imagines
,Philostratus the Athenian,Vita Apollonii
,Philostratus the Athenian,Vitae Sophistarum
,Pindar,Isthmean
,Pindar,Nemean
,Pindar,Odes
,Pindar,Olympian
,Pindar,Pythian
,Plato,Alcibiades 1
,Plato,Alcibiades 2
,Plato,Apology
,Plato,Charmides
,Plato,Cleitophon
,Plato,Cratylus
,Plato,Critias
,Plato,Crito
,Plato,Epinomis
,Plato,Epistles
,Plato,Euthydemus
,Plato,Euthyphro
,Plato,Gorgias
,Plato,Hipparchus
,Plato,Hippias Major
,Plato,Hippias Minor
,Plato,Ion
,Plato,Laches
,Plato,Laws
,Plato,Lovers
,Plato,Lysis
,Plato,Menexenus
,Plato,Meno
,Plato,Minos
,Plato,Parmenides
,Plato,Phaedo
,Plato,Phaedrus
,Plato,Philebus
,Plato,Protagoras
,Plato,Republic
,Plato,Sophist
,Plato,Statesman
,Plato,Symposium
,Plato,Theaetetus
,Plato,Theages
,Plato,Timaeus
urn:cts:latinLit:phi0119.phi001:,Plautus,Amphitruo
urn:cts:latinLit:phi0119.phi002:,Plautus,Asinaria
urn:cts:latinLit:phi0119.phi003:,Plautus,Aulularia
urn:cts:latinLit:phi0119.phi004:,Plautus,Bacchides
urn:cts:latinLit:phi0119.phi005:,Plautus,Captivi
urn:cts:latinLit:phi0119.phi006:,Plautus,Casina
urn:cts:latinLit:phi0119.phi007:,Plautus,Cistellaria
urn:cts:latinLit:phi0119.phi008:,Plautus,Curculio
urn:cts:latinLit:phi0119.phi009:,Plautus,Epidicus
urn:cts:latinLit:phi0119.phi010:,Plautus,Menaechmi
urn:cts:latinLit:phi0119.phi011:,Plautus,Mercator
urn:cts:latinLit:phi0119.phi012:,Plautus,Miles Gloriosus
urn:cts:latinLit:phi0119.phi013:,Plautus,Mostellaria
urn:cts:latinLit:phi0119.phi014:,Plautus,Persa
urn:cts:latinLit:phi0119.phi015:,Plautus,Poenulus
urn:cts:latinLit:phi0119.phi017:,Plautus,Rudens
urn:cts:latinLit:phi0119.phi018:,Plautus,Stichus
urn:cts:latinLit:phi0119.phi019:,Plautus,Trinummus
urn:cts:latinLit:phi0119.phi020:,Plautus,Truculentus
urn:cts:latinLit:phi1318.phi001:,Pliny the Younger,Letters
urn:cts:latinLit:phi0978.phi001:,Pliny the Elder,Naturalis Historia
,Plutarch,Ad principem ineruditum
,Plutarch,Adversus Colotem
,Plutarch,Aemilius
,Plutarch,Aemilius Paulus
,Plutarch,Agesilaus
,Plutarch,Agis
,Plutarch,Alcibiades
,Plutarch,Alexander
,Plutarch,Amatoriae narrationes
,Plutarch,Amatorius
,Plutarch,An Recte Dictum Sit Latenter Esse Vivendum
,Plutarch,An seni respublica gerenda sit
,Plutarch,Animine an corporis affectiones sint peiores
,Plutarch,Antony
,Plutarch,Apophthegmata Laconica
,Plutarch,Aquane an ignis sit utilior
,Plutarch,Aratus
,Plutarch,Aristides
,Plutarch,Artaxerxes
,Plutarch,Bruta animalia ratione uti
,Plutarch,Brutus
,Plutarch,Caesar
,Plutarch,Caius Gracchus
,Plutarch,Caius Marcius Coriolanus
,Plutarch,Caius Marius
,Plutarch,Camillus
,Plutarch,Cato the Younger
,Plutarch,Comparison of Dion and Brutus
,Plutarch,Cimon
,Plutarch,Cleomenesf
,Plutarch,Comparationis Aristophanis et Menandri compendium
,Plutarch,Comparison of Agesilaus and Pompey
,Plutarch,Comparison of Agis and Cleomenes and the Gracchi
,Plutarch,Comparison of Alcibiades and Coriolanus
,Plutarch,Comparison of Aristides with Marcus Cato
