URN,Text group or author,Title
urn:cts:greekLit:tlg0013.tlg024:,Homeric Hymns,Hymn 24 to Hestia
urn:cts:greekLit:tlg0013.tlg007:,Homeric Hymns,Hymn 7 to Dionysus
urn:cts:greekLit:tlg0013.tlg008:,Homeric Hymns,Hymn 8 to Ares
urn:cts:greekLit:tlg0013.tlg009:,Homeric Hymns,Hymn 9 to Artemis
urn:cts:greekLit:tlg0013.tlg021:,Homeric Hymns,Hymn 21 to Apollo
urn:cts:greekLit:tlg0013.tlg020:,Homeric Hymns,Hymn 20 to Hephaestus
urn:cts:greekLit:tlg0013.tlg010:,Homeric Hymns,Hymn 10 to Aphrodite
urn:cts:greekLit:tlg0013.tlg013:,Homeric Hymns,Hymn 13 to Demeter
urn:cts:greekLit:tlg0013.tlg014:,Homeric Hymns,Hymn 14 to the Mother of the Gods
urn:cts:greekLit:tlg0013.tlg011:,Homeric Hymns,Hymn 11 to Athena
urn:cts:greekLit:tlg0013.tlg012:,Homeric Hymns,Hymn 12 to Hera
urn:cts:greekLit:tlg0013.tlg017:,Homeric Hymns,Hymn 17 to the Dioscuri
urn:cts:greekLit:tlg0013.tlg018:,Homeric Hymns,Hymn 18 to Hermes
urn:cts:greekLit:tlg0013.tlg015:,Homeric Hymns,Hymn 15 to Heracles
urn:cts:greekLit:tlg0013.tlg016:,Homeric Hymns,Hymn 16 to Asclepius
urn:cts:greekLit:tlg0013.tlg033:,Homeric Hymns,Hymn 33 to the Dioscuri
urn:cts:greekLit:tlg0013.tlg032:,Homeric Hymns,Hymn 32 to Selene
urn:cts:greekLit:tlg0013.tlg031:,Homeric Hymns,Hymn 31 to Helios
urn:cts:greekLit:tlg0013.tlg030:,Homeric Hymns,Hymn 30 to Earth
urn:cts:greekLit:tlg0013.tlg019:,Homeric Hymns,Hymn 19 to Pan
urn:cts:greekLit:tlg0012.tlg001:,Homer,Iliad
urn:cts:greekLit:tlg0012.tlg002:,Homer,Odyssey
urn:cts:greekLit:tlg0011.tlg001:,Sophocles,Trachiniae
urn:cts:greekLit:tlg0011.tlg002:,Sophocles,Antigone
urn:cts:greekLit:tlg0011.tlg003:,Sophocles,Ajax
urn:cts:greekLit:tlg0011.tlg004:,Sophocles,Oedipus Tyrannus
urn:cts:greekLit:tlg0011.tlg005:,Sophocles,Electra
urn:cts:greekLit:tlg0011.tlg006:,Sophocles,Philoctetes
urn:cts:greekLit:tlg0011.tlg007:,Sophocles,Oedipus at Colonus
urn:cts:greekLit:tlg0011.tlg008:,Sophocles,Ichneutae
urn:cts:greekLit:tlg0010.tlg027:,Isocrates,Ad Philippum
urn:cts:greekLit:tlg0010.tlg001:,Isocrates,Against Euthynus
urn:cts:greekLit:tlg0010.tlg026:,Isocrates,Ad Timotheum
urn:cts:greekLit:tlg0010.tlg029:,Isocrates,Ad Antipatrum
urn:cts:greekLit:tlg0010.tlg002:,Isocrates,Against Callimachus
urn:cts:greekLit:tlg0010.tlg003:,Isocrates,Against Lochites
urn:cts:greekLit:tlg0010.tlg028:,Isocrates,Ad Alexandrum
urn:cts:greekLit:tlg0010.tlg023:,Isocrates,Ad filios Jasonis
urn:cts:greekLit:tlg0010.tlg004:,Isocrates,On the team of horses
urn:cts:greekLit:tlg0010.tlg022:,Isocrates,Ad Dionysium
urn:cts:greekLit:tlg0010.tlg005:,Isocrates,Trapeziticus
urn:cts:greekLit:tlg0010.tlg006:,Isocrates,Aegineticus
urn:cts:greekLit:tlg0010.tlg025:,Isocrates,Ad reges Mytilenaeos
urn:cts:greekLit:tlg0010.tlg007:,Isocrates,To Demonicus
urn:cts:greekLit:tlg0010.tlg024:,Isocrates,Ad Archidamum
urn:cts:greekLit:tlg0010.tlg008:,Isocrates,Against the Sophists
urn:cts:greekLit:tlg0010.tlg009:,Isocrates,Helen
urn:cts:greekLit:tlg0010.tlg021:,Isocrates,Panathenaicus
urn:cts:greekLit:tlg0010.tlg020:,Isocrates,To Philip
urn:cts:greekLit:tlg0010.tlg010:,Isocrates,Busiris
urn:cts:greekLit:tlg0010.tlg013:,Isocrates,To Nicocles
urn:cts:greekLit:tlg0010.tlg014:,Isocrates,Nicocles or the Cyprians
urn:cts:greekLit:tlg0010.tlg011:,Isocrates,Panegyricus
urn:cts:greekLit:tlg0010.tlg012:,Isocrates,Plataicus
urn:cts:greekLit:tlg0010.tlg017:,Isocrates,On the Peace
urn:cts:greekLit:tlg0010.tlg018:,Isocrates,Areopagiticus
urn:cts:greekLit:tlg0010.tlg015:,Isocrates,Evagoras
urn:cts:greekLit:tlg0010.tlg016:,Isocrates,Archidamus
urn:cts:greekLit:tlg0010.tlg030:,Isocrates,Ad Philippum
urn:cts:greekLit:tlg0010.tlg019:,Isocrates,Antidosis
urn:cts:latinLit:phi1221.phi007:,Caesar Augustus,Res Gestae
urn:cts:latinLit:phi0550.phi001:,Lucretius,De Rerum Natura
urn:cts:greekLit:tlg0094.tlg001:,Pseudo-Plutarch,De fluviis
urn:cts:greekLit:tlg0094.tlg002:,Pseudo-Plutarch,De musica
urn:cts:greekLit:tlg0094.tlg003:,Pseudo-Plutarch,Placita Philosophorum
urn:cts:greekLit:tlg0019.tlg010:,Aristophanes,Ecclesiazusae
urn:cts:greekLit:tlg0019.tlg001:,Aristophanes,Acharnians
urn:cts:greekLit:tlg0019.tlg011:,Aristophanes,Plutus
urn:cts:greekLit:tlg0019.tlg002:,Aristophanes,Knights
urn:cts:greekLit:tlg0019.tlg003:,Aristophanes,Clouds
urn:cts:greekLit:tlg0019.tlg004:,Aristophanes,Wasps
urn:cts:greekLit:tlg0019.tlg005:,Aristophanes,Peace
urn:cts:greekLit:tlg0019.tlg006:,Aristophanes,Birds
urn:cts:greekLit:tlg0019.tlg007:,Aristophanes,Lysistrata
urn:cts:greekLit:tlg0019.tlg008:,Aristophanes,Thesmophoriazusae
urn:cts:greekLit:tlg0019.tlg009:,Aristophanes,Frogs
urn:cts:greekLit:tlg0093.tlg009:,Theophrastus,Characters
urn:cts:greekLit:tlg2003.tlg010:,Julian the Emperor,The Caesars
urn:cts:greekLit:tlg2003.tlg013:,Julian the Emperor,Epistulae
urn:cts:greekLit:tlg2003.tlg001:,Julian the Emperor,Panegyric in Honor of the Emperor ConstantinusOration I
urn:cts:greekLit:tlg2003.tlg011:,Julian the Emperor,Hymn to King Helios Dedicated to SallustOration IV
urn:cts:greekLit:tlg2003.tlg002:,Julian the Emperor,Panegyric on the Empress EusebiaOration III
urn:cts:greekLit:tlg2003.tlg003:,Julian the Emperor,The Heroic Deeds of the Emperor Constantius or on KingshipOration II
urn:cts:greekLit:tlg2003.tlg012:,Julian the Emperor,Misopogon
urn:cts:greekLit:tlg2003.tlg017:,Julian the Emperor,Contra Galilaeos
urn:cts:greekLit:tlg2003.tlg004:,Julian the Emperor,A Consolation to Himself Upon the Departure of the Excellent SallustOration VIII
urn:cts:greekLit:tlg2003.tlg005:,Julian the Emperor,Letter to the Senate and the People of Athens
urn:cts:greekLit:tlg2003.tlg006:,Julian the Emperor,Epistula ad Themistium
urn:cts:greekLit:tlg2003.tlg007:,Julian the Emperor,To the Cynic HeracleiosOration VII
urn:cts:greekLit:tlg2003.tlg008:,Julian the Emperor,Hymn to the Mother of the GodsOration V
urn:cts:greekLit:tlg2003.tlg009:,Julian the Emperor,To the Uneducated CynicsOration VI
urn:cts:greekLit:tlg0017.tlg010:,Isaeus,Aristarchus
urn:cts:greekLit:tlg0017.tlg001:,Isaeus,Cleonymus
urn:cts:greekLit:tlg0017.tlg002:,Isaeus,Menecles
urn:cts:greekLit:tlg0017.tlg011:,Isaeus,Hagnias
urn:cts:greekLit:tlg0017.tlg003:,Isaeus,Pyrrhus
urn:cts:greekLit:tlg0017.tlg012:,Isaeus,Euphiletus
urn:cts:greekLit:tlg0017.tlg004:,Isaeus,Nicostratus
urn:cts:greekLit:tlg0017.tlg005:,Isaeus,Dicaeogenes
urn:cts:greekLit:tlg0017.tlg006:,Isaeus,Philoctemon
urn:cts:greekLit:tlg0017.tlg007:,Isaeus,Apollodorus
urn:cts:greekLit:tlg0017.tlg008:,Isaeus,Ciron
urn:cts:greekLit:tlg0017.tlg009:,Isaeus,Astyphilus
urn:cts:greekLit:tlg0341.tlg002:,Lycophron,Alexandra
urn:cts:greekLit:tlg0016.tlg001:,Herodotus,Histories
urn:cts:greekLit:tlg0099.tlg001:,Strabo,Geography
urn:cts:greekLit:tlg7000.tlg001:,greekLit:tlg7000,Greek Anthology
urn:cts:latinLit:phi0660.phi003:,Sulpicia,Poems
urn:cts:latinLit:phi0660.phi001:,Sulpicia,Elegiae
urn:cts:greekLit:tlg0655.tlg001:,Parthenius,Narrationes Amatoriae
urn:cts:greekLit:tlg0653.tlg001:,Aratus Solensis,Phaenomena
urn:cts:greekLit:tlg0023.tlg001:,Oppian,Halieutica
urn:cts:greekLit:tlg0024.tlg001:,Oppian of Apamea,Cynegetica
urn:cts:latinLit:phi1020.phi002:,P. Papinius Statius,Silvae
urn:cts:latinLit:phi1020.phi003:,P. Papinius Statius,Achilleis
urn:cts:latinLit:phi1020.phi001:,P. Papinius Statius,Thebias
urn:cts:greekLit:tlg0020.tlg001:,Hesiod,Theogony
urn:cts:greekLit:tlg0020.tlg002:,Hesiod,Works and Days
urn:cts:greekLit:tlg0020.tlg003:,Hesiod,Shield of Heracles
urn:cts:greekLit:tlg0719.tlg001:,Aretaeus,De causis et signis acutorum morborum (lib. 1)
urn:cts:greekLit:tlg0719.tlg002:,Aretaeus,De causis et signis acutorum morborum (lib. 2)
urn:cts:greekLit:tlg0719.tlg003:,Aretaeus,De curatione acutorum morborum libri duo
urn:cts:greekLit:tlg0719.tlg004:,Aretaeus,De curatione diuturnorum morborum libri duo
urn:cts:greekLit:tlg0026.tlg001:,Aeschines,Against Timarchus
urn:cts:greekLit:tlg0026.tlg002:,Aeschines,On the Embassy
urn:cts:greekLit:tlg0026.tlg003:,Aeschines,Against Ctesiphon
urn:cts:greekLit:tlg0526.tlg001:,Flavius Josephus,Jewish Antiquities
urn:cts:greekLit:tlg0526.tlg002:,Flavius Josephus,Life of Josephus
urn:cts:greekLit:tlg0526.tlg003:,Flavius Josephus,Against Apion
urn:cts:greekLit:tlg0526.tlg004:,Flavius Josephus,The Jewish War
urn:cts:greekLit:tlg0525.tlg001:,Pausanias,Description of Greece
urn:cts:greekLit:tlg0027.tlg001:,Andocides,On the Mysteries
urn:cts:greekLit:tlg0027.tlg002:,Andocides,On his Return
urn:cts:greekLit:tlg0027.tlg003:,Andocides,On the Peace
urn:cts:greekLit:tlg0027.tlg004:,Andocides,Against Alcibiades
urn:cts:greekLit:tlg0028.tlg001:,Antiphon,Against the Stepmother for Poisoning
urn:cts:greekLit:tlg0028.tlg002:,Antiphon,First Tetralogy
urn:cts:greekLit:tlg0028.tlg003:,Antiphon,Second Tetralogy
urn:cts:greekLit:tlg0028.tlg004:,Antiphon,Third Tetralogy
urn:cts:greekLit:tlg0028.tlg005:,Antiphon,On the murder of Herodes
urn:cts:greekLit:tlg0028.tlg006:,Antiphon,On the Choreutes
urn:cts:latinLit:stoa0023.stoa001:,Ammianus Marcellinus,Rerum Gestarum
urn:cts:greekLit:tlg0029.tlg004:,Dinarchus,Against Demosthenes
urn:cts:greekLit:tlg0029.tlg005:,Dinarchus,Against Aristogiton
urn:cts:greekLit:tlg0029.tlg006:,Dinarchus,Against Philocles
urn:cts:greekLit:tlg0527.tlg049:,Old Testament,Jeremiah
urn:cts:greekLit:tlg0527.tlg048:,Old Testament,Isaiah
urn:cts:greekLit:tlg0527.tlg027:,Old Testament,Psalm
urn:cts:greekLit:tlg0527.tlg001:,Old Testament,Genesis
urn:cts:greekLit:tlg0527.tlg029:,Old Testament,Proverbs
urn:cts:greekLit:tlg0527.tlg002:,Old Testament,Exodus
urn:cts:greekLit:tlg0527.tlg003:,Old Testament,Leviticus
urn:cts:greekLit:tlg0527.tlg004:,Old Testament,Numbers
urn:cts:greekLit:tlg0527.tlg023:,Old Testament,1 Maccabees
urn:cts:greekLit:tlg0527.tlg041:,Old Testament,Jonah
urn:cts:greekLit:tlg0527.tlg040:,Old Testament,Obadiah
urn:cts:greekLit:tlg0527.tlg005:,Old Testament,Deuteronomy
urn:cts:greekLit:tlg0527.tlg043:,Old Testament,Habakkuk
urn:cts:greekLit:tlg0527.tlg006:,Old Testament,Joshua
urn:cts:greekLit:tlg0527.tlg024:,Old Testament,2 Maccabees
urn:cts:greekLit:tlg0527.tlg042:,Old Testament,Nahum
urn:cts:greekLit:tlg0527.tlg008:,Old Testament,Judges
urn:cts:greekLit:tlg0527.tlg045:,Old Testament,Haggai
urn:cts:greekLit:tlg0527.tlg044:,Old Testament,Zephaniah
urn:cts:greekLit:tlg0527.tlg047:,Old Testament,Malachi
urn:cts:greekLit:tlg0527.tlg021:,Old Testament,Tobit
urn:cts:greekLit:tlg0527.tlg020:,Old Testament,Judith
urn:cts:greekLit:tlg0527.tlg046:,Old Testament,Zechariah
urn:cts:greekLit:tlg0527.tlg050:,Old Testament,Baruch
urn:cts:greekLit:tlg0527.tlg010:,Old Testament,Ruth
urn:cts:greekLit:tlg0527.tlg013:,Old Testament,1 Kings
urn:cts:greekLit:tlg0527.tlg039:,Old Testament,Joel
urn:cts:greekLit:tlg0527.tlg014:,Old Testament,2 Kings
urn:cts:greekLit:tlg0527.tlg038:,Old Testament,Micah
urn:cts:greekLit:tlg0527.tlg011:,Old Testament,1 Samuel
urn:cts:greekLit:tlg0527.tlg037:,Old Testament,Amos
urn:cts:greekLit:tlg0527.tlg012:,Old Testament,2 Samuel
urn:cts:greekLit:tlg0527.tlg036:,Old Testament,Hosea
urn:cts:greekLit:tlg0527.tlg017:,Old Testament,1 Esdras
urn:cts:greekLit:tlg0527.tlg018:,Old Testament,2 Esdras
urn:cts:greekLit:tlg0527.tlg053:,Old Testament,Ezekiel
urn:cts:greekLit:tlg0527.tlg034:,Old Testament,Ecclesiasticus
urn:cts:greekLit:tlg0527.tlg015:,Old Testament,1 Chronicles
urn:cts:greekLit:tlg0527.tlg033:,Old Testament,Wisdom
urn:cts:greekLit:tlg0527.tlg016:,Old Testament,2 Chronicles
urn:cts:greekLit:tlg0527.tlg051:,Old Testament,Lamentations
urn:cts:greekLit:tlg0527.tlg032:,Old Testament,Job
urn:cts:greekLit:tlg0527.tlg031:,Old Testament,Canticles
urn:cts:greekLit:tlg0527.tlg019:,Old Testament,Esther
urn:cts:greekLit:tlg0527.tlg056:,Old Testament,Daniel
urn:cts:greekLit:tlg0527.tlg030:,Old Testament,Ecclesiastes
urn:cts:greekLit:tlg0652.tlg001:,Philostratus Minor,Imagines
urn:cts:latinLit:phi0860.phi001:,Quintus Curtius Rufus ,Historiarum Alexandri Magni
urn:cts:latinLit:stoa0255.stoa010:,Seneca,de Ira
urn:cts:latinLit:stoa0255.stoa011:,Seneca,de Otio Sapientis
urn:cts:latinLit:stoa0255.stoa012:,Seneca,de Providentia
urn:cts:latinLit:stoa0255.stoa013:,Seneca,de Tranquilitate Animi
urn:cts:latinLit:stoa0255.stoa004:,Seneca,de Brevitate Vitae
urn:cts:latinLit:stoa0255.stoa014:,Seneca,de Vita Beata
urn:cts:latinLit:stoa0255.stoa008:,Seneca,de consolatione ad Polybium
urn:cts:latinLit:stoa0255.stoa009:,Seneca,de Constantia
urn:cts:latinLit:stoa0255.stoa006:,Seneca,de consolatione ad Helviam
urn:cts:latinLit:stoa0255.stoa007:,Seneca,de consolatione ad Marciam
urn:cts:latinLit:phi0631.phi002:,Sallust,Bellum Iugurthinum
urn:cts:latinLit:phi0631.phi003:,Sallust,Historiae
urn:cts:latinLit:phi0631.phi001:,Sallust,Catilinae Coniuratio
urn:cts:greekLit:tlg0647.tlg001:,Tryphiodorus,Taking of Ilios
urn:cts:greekLit:tlg0648.tlg001:,Onasander,Strategicus
urn:cts:latinLit:phi0448.phi002:,C. Julius Caesar,Civil War
urn:cts:latinLit:phi0448.phi001:,C. Julius Caesar,Gallic War
urn:cts:greekLit:tlg0074.tlg001:,Arrian,Anabasis
urn:cts:greekLit:tlg0074.tlg002:,Arrian,Indica
urn:cts:greekLit:tlg0074.tlg003:,Arrian,Cynegeticus
urn:cts:greekLit:tlg0074.tlg004:,Arrian,Periplus Ponti Euxini
urn:cts:greekLit:tlg0074.tlg005:,Arrian,Tactica
urn:cts:greekLit:tlg0074.tlg006:,Arrian,Acies Contra Alanos
urn:cts:latinLit:phi2331.phi017:,Scriptores Historiae Augustae,Antoninus Heliogobalus
urn:cts:latinLit:phi2331.phi018:,Scriptores Historiae Augustae,Alexander Severus
urn:cts:latinLit:phi2331.phi019:,Scriptores Historiae Augustae,Maximini Duo
urn:cts:latinLit:phi2331.phi013:,Scriptores Historiae Augustae,Antoninus Caracalla
urn:cts:latinLit:phi2331.phi014:,Scriptores Historiae Augustae,Antoninus Geta
urn:cts:latinLit:phi2331.phi015:,Scriptores Historiae Augustae,Opilius Macrinus
urn:cts:latinLit:phi2331.phi016:,Scriptores Historiae Augustae,Diadumenus Antoninus
urn:cts:latinLit:phi2331.phi010:,Scriptores Historiae Augustae,Severus
urn:cts:latinLit:phi2331.phi011:,Scriptores Historiae Augustae,Pescennius Niger
urn:cts:latinLit:phi2331.phi012:,Scriptores Historiae Augustae,Clodinus Albinus
urn:cts:latinLit:phi2331.phi030:,Scriptores Historiae Augustae,Carus et Carinus et Numerianus
urn:cts:latinLit:phi2331.phi008:,Scriptores Historiae Augustae,Pertinax
urn:cts:latinLit:phi2331.phi026:,Scriptores Historiae Augustae,Divus Aurelianus
urn:cts:latinLit:phi2331.phi009:,Scriptores Historiae Augustae,Didius Julianus
urn:cts:latinLit:phi2331.phi027:,Scriptores Historiae Augustae,Tacitus
urn:cts:latinLit:phi2331.phi024:,Scriptores Historiae Augustae,Tyranni Triginta
urn:cts:latinLit:phi2331.phi006:,Scriptores Historiae Augustae,Avidius Casius
urn:cts:latinLit:phi2331.phi025:,Scriptores Historiae Augustae,Divus Claudius
urn:cts:latinLit:phi2331.phi007:,Scriptores Historiae Augustae,Commodus Antoninus
urn:cts:latinLit:phi2331.phi004:,Scriptores Historiae Augustae,Marcus Antoninus Philosophus
urn:cts:latinLit:phi2331.phi005:,Scriptores Historiae Augustae,Verus
urn:cts:latinLit:phi2331.phi028:,Scriptores Historiae Augustae,Probus
urn:cts:latinLit:phi2331.phi002:,Scriptores Historiae Augustae,Helius
urn:cts:latinLit:phi2331.phi003:,Scriptores Historiae Augustae,Antoninus Pius
urn:cts:latinLit:phi2331.phi029:,Scriptores Historiae Augustae,Firmus Saturninus- Proculus et Bonosus
urn:cts:latinLit:phi2331.phi001:,Scriptores Historiae Augustae,De Vita Hadriani
urn:cts:latinLit:phi2331.phi022:,Scriptores Historiae Augustae,Valeriani Duo
urn:cts:latinLit:phi2331.phi023:,Scriptores Historiae Augustae,Gallieni Duo
urn:cts:latinLit:phi2331.phi020:,Scriptores Historiae Augustae,Goridani Tres
urn:cts:latinLit:phi2331.phi021:,Scriptores Historiae Augustae,Maximus et Balbinus
urn:cts:latinLit:phi1002.phi0018:,Quintilian,Institutio Oratoria  Book 8
urn:cts:latinLit:phi1002.phi0017:,Quintilian,Institutio Oratoria  Book 7
urn:cts:latinLit:phi1002.phi00111:,Quintilian,Institutio Oratoria  Book 11
urn:cts:latinLit:phi1002.phi00110:,Quintilian,Institutio Oratoria  Book 10
urn:cts:latinLit:phi1002.phi0019:,Quintilian,Institutio Oratoria  Book 9
urn:cts:latinLit:phi1002.phi00112:,Quintilian,Institutio Oratoria  Book 12
urn:cts:latinLit:phi1002.phi0013:,Quintilian,Institutio Oratoria  Book 3
urn:cts:latinLit:phi1002.phi001p:,Quintilian,Institutio Oratoria  Preface
urn:cts:latinLit:phi1002.phi0014:,Quintilian,Institutio Oratoria  Book 4
urn:cts:latinLit:phi1002.phi0015:,Quintilian,Institutio Oratoria  Book 5
urn:cts:latinLit:phi1002.phi0016:,Quintilian,Institutio Oratoria  Book 6
urn:cts:latinLit:phi1002.phi0011:,Quintilian,Institutio Oratoria  Book 1
urn:cts:latinLit:phi1002.phi0012:,Quintilian,Institutio Oratoria  Book 2
urn:cts:latinLit:phi1294.phi002:,Martial,Epigrammata
urn:cts:latinLit:phi0969.phi001:,Persius,Saturae
urn:cts:greekLit:tlg0535.tlg001:,Demades,On the Twelve Years
urn:cts:greekLit:tlg0532.tlg001:,Achilles Tatius,Leucippe et Clitophon
urn:cts:greekLit:tlg0533.tlg003:,Callimachus,Epigrams
urn:cts:greekLit:tlg0533.tlg017:,Callimachus,Hymn to Artemis
urn:cts:greekLit:tlg0533.tlg004:,Callimachus,Epigrams
urn:cts:greekLit:tlg0533.tlg018:,Callimachus,Hymn to Delos
urn:cts:greekLit:tlg0533.tlg015:,Callimachus,Hymn to Zeus
urn:cts:greekLit:tlg0533.tlg016:,Callimachus,Hymn to Apollo
urn:cts:greekLit:tlg0533.tlg019:,Callimachus,Hymn to Athena
urn:cts:greekLit:tlg0533.tlg020:,Callimachus,Hymn to Demeter
urn:cts:latinLit:stoa0058.stoa025:,Boethius,Quomodo Trinitas Unus Deus Ac Non Tres Dii (De Trinitate)
urn:cts:latinLit:stoa0058.stoa028:,Boethius,Utrum Pater Et Filius Ac Spiritus Sanctus De Divinitate Substantialiter Praedicentur Liber
urn:cts:latinLit:stoa0058.stoa001:,Boethius,De consolatione philosophiae
urn:cts:latinLit:stoa0058.stoa003:,Boethius,Quomodo Substantiae in Eo Quod Sint Bonae Sint Cum Non Sint Substanialia Bona
urn:cts:latinLit:stoa0058.stoa023:,Boethius,Liber De Persona et Duabus Naturis Contra Eutychen Et Nestorium
urn:cts:latinLit:stoa0058.stoa006:,Boethius,Theological Tractates
urn:cts:greekLit:tlg0540.tlg027:,Lysias,Against Epicrates and his Fellow Envoys
urn:cts:greekLit:tlg0540.tlg001:,Lysias,On the Murder of Eratosthenes
urn:cts:greekLit:tlg0540.tlg026:,Lysias,On the Scrutiny of Evandros
urn:cts:greekLit:tlg0540.tlg002:,Lysias,Funeral Oration
urn:cts:greekLit:tlg0540.tlg029:,Lysias,Against Philocrates
urn:cts:greekLit:tlg0540.tlg003:,Lysias,Against Simon
urn:cts:greekLit:tlg0540.tlg028:,Lysias,Against Ergocles
urn:cts:greekLit:tlg0540.tlg023:,Lysias,Against Pancleon
urn:cts:greekLit:tlg0540.tlg004:,Lysias,On a Wound by Premeditation
urn:cts:greekLit:tlg0540.tlg022:,Lysias,Against the Corn Dealers
urn:cts:greekLit:tlg0540.tlg005:,Lysias,For Callias
urn:cts:greekLit:tlg0540.tlg025:,Lysias,Defence against a Charge of subverting the Democracy
urn:cts:greekLit:tlg0540.tlg006:,Lysias,Against Andocides
urn:cts:greekLit:tlg0540.tlg024:,Lysias,On the Refusal of a Pension
urn:cts:greekLit:tlg0540.tlg007:,Lysias,On the Olive Stump
urn:cts:greekLit:tlg0540.tlg008:,Lysias,Accusation of Calumny
urn:cts:greekLit:tlg0540.tlg009:,Lysias,For the Soldier
urn:cts:greekLit:tlg0540.tlg021:,Lysias,Defence against a Charge of Taking Bribes
urn:cts:greekLit:tlg0540.tlg020:,Lysias,For Polystratus
urn:cts:greekLit:tlg0540.tlg010:,Lysias,Against Theomnestus 1
urn:cts:greekLit:tlg0540.tlg013:,Lysias,Against Agoratus
urn:cts:greekLit:tlg0540.tlg014:,Lysias,Against Alcibiades 1
urn:cts:greekLit:tlg0540.tlg011:,Lysias,Against Theomnestus 2
urn:cts:greekLit:tlg0540.tlg012:,Lysias,Against Eratosthenes
urn:cts:greekLit:tlg0540.tlg017:,Lysias,On the Property of Eraton
urn:cts:greekLit:tlg0540.tlg018:,Lysias,On the Confiscation of the Property of the Brother of
,,Nicias
urn:cts:greekLit:tlg0540.tlg015:,Lysias,Against Alcibiades 2
urn:cts:greekLit:tlg0540.tlg034:,Lysias,Against the Subversion of the Ancestral Constitution of
,,Athens
urn:cts:greekLit:tlg0540.tlg016:,Lysias,For Mantitheus
urn:cts:greekLit:tlg0540.tlg033:,Lysias,Olympic Oration
urn:cts:greekLit:tlg0540.tlg032:,Lysias,Against Diogeiton
urn:cts:greekLit:tlg0540.tlg031:,Lysias,Against Philon
urn:cts:greekLit:tlg0540.tlg019:,Lysias,On the Property of Aristophanes
urn:cts:greekLit:tlg0540.tlg030:,Lysias,Against Nicomachus
urn:cts:latinLit:phi1212.phi002:,Apuleius,Metamorphoses
urn:cts:latinLit:phi1212.phi003:,Apuleius,Florida
urn:cts:latinLit:phi1212.phi001:,Apuleius,Apologia
urn:cts:greekLit:tlg0001.tlg001:,Apollonius Rhodius,Argonautica
urn:cts:greekLit:tlg0003.tlg001:,Thucydides,Histories
urn:cts:greekLit:tlg0638.tlg001:,Philostratus the Athenian,Life of Apollonius of Tyana
urn:cts:greekLit:tlg0638.tlg003:,Philostratus the Athenian,Lives of the Sophists
urn:cts:greekLit:tlg0638.tlg004:,Philostratus the Athenian,Heroicus
urn:cts:greekLit:tlg0638.tlg005:,Philostratus the Athenian,Nero
urn:cts:greekLit:tlg0638.tlg006:,Philostratus the Athenian,Epistulae et dialexeis
urn:cts:greekLit:tlg0638.tlg007:,Philostratus the Athenian,Gymnastica
urn:cts:greekLit:tlg0086.tlg010:,Aristotle,Nicomachean Ethics
urn:cts:greekLit:tlg0086.tlg038:,Aristotle,Rhetoric
urn:cts:greekLit:tlg0086.tlg029:,Aristotle,Economics
urn:cts:greekLit:tlg0086.tlg003:,Aristotle,Constitution of the Athenians
urn:cts:greekLit:tlg0086.tlg035:,Aristotle,Politics
urn:cts:greekLit:tlg0086.tlg034:,Aristotle,Poetics
urn:cts:greekLit:tlg0086.tlg025:,Aristotle,Metaphysics
urn:cts:greekLit:tlg0086.tlg045:,Aristotle,Virtues and Vices
urn:cts:greekLit:tlg0086.tlg009:,Aristotle,Eudemian Ethics
urn:cts:greekLit:tlg2934.tlg066:,John  of Damascus (attributed author),Vita Barlaam et Joasaph
urn:cts:greekLit:tlg0085.tlg001:,Aeschylus,Suppliant Maidens
urn:cts:greekLit:tlg0085.tlg002:,Aeschylus,Persians
urn:cts:greekLit:tlg0085.tlg003:,Aeschylus,Prometheus Bound
urn:cts:greekLit:tlg0085.tlg004:,Aeschylus,Seven Against Thebes
urn:cts:greekLit:tlg0085.tlg005:,Aeschylus,Agamemnon
urn:cts:greekLit:tlg0085.tlg006:,Aeschylus,Libation Bearers
urn:cts:greekLit:tlg0085.tlg007:,Aeschylus,Eumenides
urn:cts:greekLit:tlg0199.tlg001:,Bacchylides,Epinicians
urn:cts:greekLit:tlg0199.tlg002:,Bacchylides,Dithyrambs
urn:cts:latinLit:phi0588.abo017:,Cornelius Nepos,Agesilaus
urn:cts:latinLit:phi0588.abo016:,Cornelius Nepos,Pelopidas
urn:cts:latinLit:phi0588.abo015:,Cornelius Nepos,Epaminondas
urn:cts:latinLit:phi0588.abo014:,Cornelius Nepos,Datames
urn:cts:latinLit:phi0588.abo013:,Cornelius Nepos,Timotheus
urn:cts:latinLit:phi0588.abo012:,Cornelius Nepos,Chabrias
urn:cts:latinLit:phi0588.abo011:,Cornelius Nepos,Iphicrates
urn:cts:latinLit:phi0588.abo010:,Cornelius Nepos,Dion
urn:cts:latinLit:phi0588.abo018:,Cornelius Nepos,Eumenes
urn:cts:latinLit:phi0588.abo019:,Cornelius Nepos,Phocion
urn:cts:latinLit:phi0588.abo020:,Cornelius Nepos,Timoleon
urn:cts:latinLit:phi0588.abo001:,Cornelius Nepos,Miltiades
urn:cts:latinLit:phi0588.abo002:,Cornelius Nepos,Themistocles
urn:cts:latinLit:phi0588.abo003:,Cornelius Nepos,Aristides
urn:cts:latinLit:phi0588.abo004:,Cornelius Nepos,Pausanias
