Author	Work	e-Source	Print Source	Added by
Ausonius	Cento Nuptialis	Perseus	Ausonius. Works. Ausonius, Vol 1. Ausonius, Decimus Magnus. Hugh G. Evelyn-White. William Heinemann Ltd.; Harvard University Press. London; Cambridge, Massachusetts. 1919.	Katherine Roache
Ausonius	Commemoratio professorum Burdigalensium	Perseus	Ausonius. Works. Ausonius, Vol 1. Ausonius, Decimus Magnus. Hugh G. Evelyn-White. William Heinemann Ltd.; Harvard University Press. London; Cambridge, Massachusetts. 1919.	Katherine Roache
Ausonius	Cupido cruciatur	Perseus	Hugh G. Evelyn-White, Ausonius. Works.. London; Cambridge, Massachusetts: William Heinemann Ltd.; Harvard University Press, 1919.	Katherine Roache
Ausonius	De Bissula	Perseus	Ausonius. Works. Ausonius, Vol 1. Ausonius, Decimus Magnus. Hugh G. Evelyn-White. William Heinemann Ltd.; Harvard University Press. London; Cambridge, Massachusetts. 1919.	Katherine Roache
Ausonius	De Herediolo	Perseus	Hugh G. Evelyn-White, Ausonius. Works.. London; Cambridge, Massachusetts: William Heinemann Ltd.; Harvard University Press, 1919.	Katherine Roache
Ausonius, Decimus Magnus	Ephemeris	Perseus	Ausonius. Works. Ausonius, Vol 1. Ausonius, Decimus Magnus. Hugh G. Evelyn-White. William Heinemann Ltd.; Harvard University Press. London; Cambridge, Massachusetts. 1919.	Katherine Roache
Ausonius	Epicedion in Patrem	Perseus	Hugh G. Evelyn-White, Ausonius. Works.. London; Cambridge, Massachusetts: William Heinemann Ltd.; Harvard University Press, 1919.	Katherine Roache
Ausonius, Decimus Magnus	Epigrammata Ausonii de diversis rebus	Perseus	Ausonius. Works. Ausonius, Vol 2. Ausonius, Decimus Magnus. Hugh G. Evelyn-White. William Heinemann Ltd.; Harvard University Press. London; Cambridge, Massachusetts. 1921.	Katherine Roache
Ausonius, Decimus Magnus	Epistularum	Perseus	Ausonius. Works. Ausonius, Vol 2. Ausonius, Decimus Magnus. Hugh G. Evelyn-White. William Heinemann Ltd.; Harvard University Press. London; Cambridge, Massachusetts. 1921.	Katherine Roache
Ausonius, Decimus Magnus	Epitaphia heroum qui bello Troico interfuerunt	Perseus	Ausonius. Works. Ausonius, Vol 1. Ausonius, Decimus Magnus. Hugh G. Evelyn-White. William Heinemann Ltd.; Harvard University Press. London; Cambridge, Massachusetts. 1919.	Katherine Roache
Ausonius, Decimus Magnus	Fasti	Perseus	Ausonius. Works. Ausonius, Vol 1. Ausonius, Decimus Magnus. Hugh G. Evelyn-White. William Heinemann Ltd.; Harvard University Press. London; Cambridge, Massachusetts. 1919.	Katherine Roache
Ausonius	Griphus Ternarii numeri	Perseus	Hugh G. Evelyn-White, Ausonius. Works.. London; Cambridge, Massachusetts: William Heinemann Ltd.; Harvard University Press, 1919.	Katherine Roache
Ausonius, Decimus Magnus	Ludus Septem Sapientum	Perseus	Ausonius. Works. Ausonius, Vol 1. Ausonius, Decimus Magnus. Hugh G. Evelyn-White. William Heinemann Ltd.; Harvard University Press. London; Cambridge, Massachusetts. 1919.	Katherine Roache
Ausonius	Mosella	Perseus	Hugh G. Evelyn-White, Ausonius. Works.. London; Cambridge, Massachusetts: William Heinemann Ltd.; Harvard University Press, 1919.	Katherine Roache
Ausonius	Oratio Consulis Ausonii Versibus Ropalicis	Perseus	Hugh G. Evelyn-White, Ausonius. Works.. London; Cambridge, Massachusetts: William Heinemann Ltd.; Harvard University Press, 1919.	Katherine Roache
Ausonius, Decimus Magnus	Ordo Urbium Nobilium	Perseus	Ausonius. Works. Ausonius, Vol 1. Ausonius, Decimus Magnus. Hugh G. Evelyn-White. William Heinemann Ltd.; Harvard University Press. London; Cambridge, Massachusetts. 1919.	Katherine Roache
Ausonius, Decimus Magnus	Parentalia	Perseus	Ausonius. Works. Ausonius, Vol 1. Ausonius, Decimus Magnus. Hugh G. Evelyn-White. William Heinemann Ltd.; Harvard University Press. London; Cambridge, Massachusetts. 1919.	Katherine Roache
Ausonius, Decimus Magnus	Praefatiunculae	Perseus	Ausonius. Works. Ausonius, Vol 1. Ausonius, Decimus Magnus. Hugh G. Evelyn-White. William Heinemann Ltd.; Harvard University Press. London; Cambridge, Massachusetts. 1919.	Katherine Roache
Ausonius, Decimus Magnus	Precationes	Perseus	Ausonius. Works. Ausonius, Vol 1. Ausonius, Decimus Magnus. Hugh G. Evelyn-White. William Heinemann Ltd.; Harvard University Press. London; Cambridge, Massachusetts. 1919.	Katherine Roache
Ausonius, Decimus Magnus	Technopaegnion	Perseus	Ausonius. Works. Ausonius, Vol 1. Ausonius, Decimus Magnus. Hugh G. Evelyn-White. William Heinemann Ltd.; Harvard University Press. London; Cambridge, Massachusetts. 1919.	Katherine Roache
Barnabas	Barnabae Epistula	Perseus	Kirsopp Lake, The Apostolic Fathers, Vol 1. London; New York: William Heinemann; The Macmillan Co., 1912.	Anna Glenn
Bede	Historiam ecclesiasticam gentis Anglorum	Perseus	Charles Plummer, Historiam ecclesiasticam gentis Anglorum. Oxfordii: e typographeo Clarendoniano, 1896.	Anna Glenn
Bion of Phlossa	Epitaphius Adonis	Perseus	J. M. (John Maxwell) Edmonds, The Greek Bucolic Poets. London; New York: William Heinemann; G. P. Putnam's Sons, 1919.	Anna Glenn
Bion of Phlossa	Epithalamium Achillis et Deidameiae	Perseus	J. M. (John Maxwell) Edmonds, The Greek Bucolic Poets. London; New York: William Heinemann; G. P. Putnam's Sons, 1919.	Anna Glenn
Boethius	Consolatio Philosophiae	Perseus	James J. O'Donnell, Consolatio Philosophiae.	Emilie Bétrix
Boethius	De Fide Catholica	Perseus	H.F. Stewart, Theological Tractates and the Consolation of Philosophy. London; Cambridge, Massachusetts: William Heinemann Ltd.; Harvard University Press, 1918.	Emilie Bétrix
Boethius	Liber De Persona et Duabus Naturis Contra Eutychen Et Nestorium	Perseus	H.F. Stewart, Theological Tractates and the Consolation of Philosophy. London; Cambridge, Massachusetts: William Heinemann Ltd.; Harvard University Press, 1918.	Emilie Bétrix
Boethius	Quomodo Substantiae in Eo Quod Sint Bonae Sint Cum Non Sint Substanialia Bona	Perseus	H.F. Stewart, Theological Tractates and the Consolation of Philosophy. London; Cambridge, Massachusetts: William Heinemann Ltd.; Harvard University Press, 1918.	Emilie Bétrix
Boethius	Quomodo Trinitas Unus Deus Ac Non Tres Dii (De Trinitate)	Perseus	H.F. Stewart, Theological Tractates and the Consolation of Philosophy. London; Cambridge, Massachusetts: William Heinemann Ltd.; Harvard U iversity Press, 1918.	Anna Glenn
Boethius	Utrum Pater Et Filius Ac Spiritus Sanctus De Divinitate Substantiali ter Praedicentur Liber	Perseus	H.F. Stewart, Theological Tractates and the Consolation of Philo sophy. London; Cambridge, Massachusetts: William Heinemann Ltd.; Harvard Un iversity Press, 1918.	Anna Glenn
Caesar Augustus	Res Gestae Divi Augusti	Perseus	Res Gestae Divi Augusti.	Emilie Bétrix
Callistratus	Statuaram Descriptiones	Perseus	Flavii Philostrati Opera, Vol 2. Callistratus. Carl Ludwig Kayser. in aedibus B. G. Teubneri. Lipsiae. 1871.	Katherine Roache
Catullus	Carmina	Perseus	Edition of E. T. Merrill	Chris Forstall
Celsus	De Medicina	Perseus	Friedrich Marx, A. Cornelii Celsi quae supersunt. Lipsiae: Teubner, 1915.	Anna Glenn
Chariton	De Chaerea et Callirhoe	Perseus	Chariton.Erotici Scriptores Graeci, Vol 2. Rudolf Hercher. in aedibus B. G. Teubneri. Leipzig. 1859.	Katherine Roache
Cicero	Academica	Perseus	O. Plasberg, Academicorum reliquiae cum Lucullo. Leipzig: T eubner, 1922.	Anna Glenn
Cicero	Brutus	Perseus	A. S. Wilkins, M. Tulli Ciceronis Rhetorica, Tomus II. Oxon ii: e Typographeo Clarendoniano, 1911.	Anna Glenn
Cicero	Cum populo gratias egit	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	De Amicitia	Perseus	William Armistead Falconer, With An English Translation. Ca mbridge: Harvard University Press; Cambridge, Mass., London, England, 1923.	Anna Glenn
Cicero	De Divinatione	Perseus	C. F. W. Müller, De Divinatione. Leipzig: Teubner, 1915.	Anna Glenn
Cicero	De Fato	Perseus	C. F. W. Müller, De Fato. Leipzig: Teubner, 1915.	Anna Glenn
Cicero	De Finibus Bonorum et Malorum	Perseus	Th. Schiche, M. Tulli Ciceronis scripta quae manserunt omnia, fasc. 43. Leipzig: Teubner, 1915.	Anna Glenn
Cicero	De Inventione	Perseus	Eduard Stroebel, Rhetorici libri duo qui vocantur de inventione. Lipsiae: In Aedibus B.G. Teubneri, 1915.	Anna Glenn
Cicero	De Officiis	Perseus	Walter Miller, De Officiis. Cambridge: Harvard University P ress; Cambridge, Mass., London, England, 1913.	Anna Glenn
Cicero	De Optimo Genere Oratorum	Perseus	A. S. Wilkins, M. Tulli Ciceronis Rhetorica, Tomus II. Oxon ii: e Typographeo Clarendoniano, 1911.	Anna Glenn
Cicero	De Oratore	Perseus	A. S. Wilkins, M. Tulli Ciceronis Rhetorica. 1902.	Anna Glenn
Cicero	De Partitione Oratore	Perseus	A. S. Wilkins, M. Tulli Ciceronis Rhetorica, Tomus II. 1911.	Anna Glenn
Cicero	De Republica	Perseus	C. F. W. Mueller, Librorum de Re Publica Sex. Leipzig: Teubner, 1889.	Anna Glenn
Cicero	De Senectute	Perseus	William Armistead Falconer, With An English Translation. Ca mbridge: Harvard University Press; Cambridge, Mass., London, England, 1923.	Anna Glenn
Cicero	De domo sua	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	De haruspicum responso	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	De imperio Cn. Pompei	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark Collegii Reginae Socius. Oxonii: e Typographeo Clarendoniano, 1908.	Anna Glenn
Cicero	De lege agraria contra Rullum	Perseus	Albert Clark, M. Tulli Ciceronis Orationes:Recognovit brevique adnotatione critica instruxitAlbertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	De provinciis consularibus	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	Divinatio in C. Verrem	Perseus	Albert Clark, M. Tvlli Ciceronis Orationes: Divinatio in Q. Caecilivm. In C. Verrem Recognovit brevique adnotatione critica instruxit Gvlielmvs Peterson Rector Vniversitatis MacGillianae. Oxford: e Typographeo Clarendoniano, 1917.	Anna Glenn
Cicero	Divinatio in Q. Caecilius	Perseus	Albert Clark, M. Tvlli Ciceronis Orationes: Divinatio in Q. Caecilivm. In C. Verrem Recognovit brevique adnotatione critica instruxit Gvlielmvs Peterson Rector Vniversitatis MacGillianae. Oxford: e Typographeo Clarendoniano, 191 7.	Anna Glenn
Cicero	Epistulae ad Familiares	Perseus	L. C. Purser,Ciceronis Epistulae Oxonii, e typographeo Clarendoniano 1906	Anna Glenn
Cicero	In Catilinam	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark Collegii Reginae Socius. Oxonii: e Typographeo Clarendoniano, 1908.	Anna Glenn
Cicero	In L. Pisonem	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	In Vatinium	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	Letters to Atticus	Perseus	L. C. Purser, Ciceronis Epistulae Oxonii, e typographeo Clarendoniano 1906.	Anna Glenn
Cicero	Letters to and from Brutus	Perseus	L. C. Purser, Ciceronis Epistulae Oxonii, e typographeo Clarendoniano 1906.	Anna Glenn
Cicero	Letters to and from Quintus	Perseus	L. C. Purser, Ciceronis Epistulae Oxonii, e typographeo Clarendoniano 1906.	Anna Glenn
Cicero	Lucullus	Perseus	O. Plasberg, Academicorum reliquiae cum Lucullo. Leipzig: T eubner, 1922.	Anna Glenn
Cicero	Orator	Perseus	A. S. Wilkins, M. Tulli Ciceronis Rhetorica, Tomus II. Oxon ii: e Typographeo Clarendoniano, 1911.	Anna Glenn
Cicero	Paradoxa stoicorum ad M. Brutum	Perseus	J. G. Baiter, M. Tullii Ciceronis opera quae supersunt omnia. Leipzig: Tauchnitz, 1865.	Anna Glenn
Cicero	Philippicae	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit breviqve adnotatione critica instrvxit Albertus Curtis Clark Collegii Reginae Socius. Oxford: e Typographeo Clarendoniano, 1918.	Anna Glenn
Cicero	Post reditum in senatu	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit
Cicero	Pro A. Caecina	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	Pro Archia	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	Pro Balbo	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	Pro C. Rabiro perduellionis reo	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	Pro C. Rabiro postumo	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	Pro Cluentio	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark Collegii Reginae Socius. Oxonii: e Typographeo Clarendoniano, 1908.	Anna Glenn
Cicero	Pro Fonteio	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	Pro L. Flacco	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	Pro Ligario	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit breviqve adnotatione critica instrvxit Albertus Curtis Clark Collegii Reginae Socius. Oxford: e Typographeo Clarendoniano, 1918.	Anna Glenn
Cicero	Pro M. Caelio	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark Collegii Reginae Socius. Oxonii: e Typographeo Clarendoniano, 1908.	Anna Glenn
Cicero	Pro Marcello	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit breviqve adnotatione critica instrvxit Albertus Curtis Clark Collegii Reginae Socius. Oxford: e Typographeo Clarendoniano, 1918.	Anna Glenn
Cicero	Pro Milone	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit breviqve adnotatione critica instrvxit Albertus Curtis Clark Collegii Reginae Socius. Oxford: e Typographeo Clarendoniano, 1918.	Anna Glenn
Cicero	Pro Murena	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark Collegii Reginae Socius. Oxonii: e Typographeo Clarendoniano, 1908.	Anna Glenn
Cicero	Pro Plancio	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	Pro Publius Quincto	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	Pro Q. Roscio comoedo	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	Pro Rabiro perduellionis reo	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	Pro Rege Deiotaro	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit breviqve adnotatione critica instrvxit Albertus Curtis Clark Collegii Reginae Socius. Oxford: e Typographeo Clarendoniano, 1918.	Anna Glenn
Cicero	Pro S. Roscio	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark Collegii Reginae Socius. Oxonii: e Typographeo Clarendoniano, 1908.	Anna Glenn
Cicero	Pro Scauro	Perseus	Albert Clark, M. Tulli Ciceronis Orationes:Recognovit brevique adnotatione critica instruxitAlbertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	Pro Sestio	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	Pro Sulla	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	Pro Tullio	Perseus	Albert Clark, M. Tulli Ciceronis Orationes: Recognovit brevique adnotatione critica instruxit Albertus Curtis Clark. Oxonii: e Typographeo Clarendoniano, 1909.	Anna Glenn
Cicero	Timaeus	Perseus	C. F. W. Mueller, Lipsiae: in aedibus B. G. Teubneri, 1900.	Anna Glenn
Cicero	Topica	Perseus	A. S. Wilkins, M. Tulli Ciceronis Rhetorica, Tomus II. Oxon ii: e Typographeo Clarendoniano, 1911.	Anna Glenn
Cicero	Tusculanae Disputationes	Perseus	M. Pohlenz, Tusculanae Disputationes. Leipzig: Teubner, 191 8.	Anna Glenn
Claudianus	De consulatu Stilichonis	Perseus	Maurice Platnaeur, Claudian, Vol 1-2. London; New York: William Heinemann; G.P. Putnam's Sons, 1922.
Claudianus	Epithalamium de nuptiis Honorii Augusti	Perseus	Maurice Platnaeur, Claudian, Vol 1. London; New York: William Heinemann; G.P. Putnam's Sons, 1922.
Claudianus	de Bello Gothico	Perseus	Maurice Platnaeur, Claudian, Vol 2. London; New York: William Heinemann; G.P. Putnam's Sons, 1922.
Claudianus	de raptu Proserpinae	Perseus	Maurice Platnaeur, Claudian, Vol 2. London; New York: William Heinemann; G.P. Putnam's Sons, 1922.
Clement of Alexandria	Exhortation to Endurance, or to the Newly Baptized	Perseus	Clement of Alexandria. G.W. Butterworth. Clement of Alexandria, with an English Translation by G.W. Butterworth. William Heinemann Ltd; G.P. Putnam's Sons. London; New York. 1919.	Katherine Roache
Clement of Alexandria	Protrepticus	Perseus	Clement of Alexandria. G.W. Butterworth. Clement of Alexandria, with an English Translation by G.W. Butterworth. William Heinemann Ltd; G.P. Putnam's Sons. London; New York. 1919.	Katherine Roache
Clement of Alexandria	Quis Dis Salvetur	Perseus	Clement of Alexandria. G.W. Butterworth. Clement of Alexandria, with an English Translation by G.W. Butterworth. William Heinemann Ltd; G.P. Putnam's Sons. London; New York. 1919.	Katherine Roache
Colluthus	Rape of Helen	Perseus	Colluthus. A. W. Mair. Oppian, Colluthus, Tryphiodorus with an English Translation by A.W. Mair. London, William Heinemann, Ltd.; New York: G.P. Putnam's Sons. 1928.	Katherine Roache
Columella	Res Rustica, Books I-IV	Perseus	Harrison Boyd Ash, On Agriculture, Volume 1.. London: Willi am Heinemann; Harvard University, 1940.	Anna Glenn
Columella	Res Rustica, Books V-IX	Perseus	E.S. Forster, On Agriculture, Volume 2.. London: William He inemann; Harvard University, 1954.	Anna Glenn
Curtius Rufus	Historiae Alexandri Magni	Perseus	Edmund Hedicke, Historiarum Alexandri Magni Macedonis libri qui supersunt. Lipsiae: in aedibus B.G. Teubneri, 1908.	Anna Glenn
Demades	On the Twelve Years	Perseus	Demades. Minor Attic Orators in two volumes, 2, with an English translation by J. O. Burtt, M.A. Cambridge, MA, Harvard University Press; London, William Heinemann Ltd. 1962.	Katherine Roache
Demosthenes	Against Androtion	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher and W. Rennie. Oxonii. E Typographeo Clarendoniano. 1907 and 1921.	Katherine Roache
Demosthenes	Against Apatourius	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii. E Typographeo Clarendoniano. 1921.	Katherine Roache
Demosthenes	Against Aphobus (29)	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher and W. Rennie. Oxonii. E Typographeo Clarendoniano. 1907 and 1921.	Katherine Roache
Demosthenes	Against Aphobus 1	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher and W. Rennie. Oxonii. E Typographeo Clarendoniano. 1907 and 1921.	Katherine Roache
Demosthenes	Against Aphobus 2	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher and W. Rennie. Oxonii. E Typographeo Clarendoniano. 1907 and 1921.	Katherine Roache
Demosthenes	Against Aristocrates	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher and W. Rennie. Oxonii. E Typographeo Clarendoniano. 1907 and 1921.	Katherine Roache
Demosthenes	Against Aristogiton 1	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher and W. Rennie. Oxonii. E Typographeo Clarendoniano. 1907 and 1921.	Katherine Roache
Demosthenes	Against Aristogiton 2	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher and W. Rennie. Oxonii. E Typographeo Clarendoniano. 1907 and 1921.	Katherine Roache
Demosthenes	Against Boeotus 1	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii. E Typographeo Clarendoniano. 1921.	Katherine Roache
Demosthenes	Against Boeotus 2	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii. E Typographeo Clarendoniano. 1921.	Katherine Roache
Demosthenes	Against Callicles	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Against Callippus	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Against Conon	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Against Dionysodorus	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
